id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,Something sells this toy easily.,-1.021484375,-0.458984375,patient,patient,-0.5625,patient
1,sells,book,easily,Something sells this book easily.,-0.982421875,-0.482177734375,patient,patient,-0.500244140625,patient
2,sells,novel,easily,Something sells this novel easily.,-1.0205078125,-0.458251953125,patient,patient,-0.562255859375,patient
3,sells,magazine,easily,Something sells this magazine easily.,-1.2744140625,-0.337158203125,patient,patient,-0.937255859375,patient
4,sells,hat,easily,Something sells this hat easily.,-1.060546875,-0.43505859375,patient,patient,-0.62548828125,patient
5,sells,lotion,easily,Something sells this lotion easily.,-0.92333984375,-0.51708984375,patient,patient,-0.40625,patient
6,sells,album,easily,Something sells this album easily.,-1.607421875,-0.232177734375,patient,patient,-1.375244140625,patient
7,sells,car,easily,Something sells this car easily.,-1.04296875,-0.44921875,patient,patient,-0.59375,patient
8,sells,suv,easily,Something sells this SUV easily.,-1.001953125,-0.470703125,patient,patient,-0.53125,patient
9,sells,product,easily,Something sells this product easily.,-0.87255859375,-0.65380859375,patient,patient,-0.21875,patient
10,sells,make,easily,Something sells this make easily.,-0.88671875,-0.54296875,patient,patient,-0.34375,patient
11,sells,item,easily,Something sells this item easily.,-0.9140625,-0.5703125,patient,patient,-0.34375,patient
12,sells,cd,easily,Something sells this CD easily.,-1.48828125,-0.269775390625,patient,patient,-1.218505859375,patient
13,sells,drug,easily,Something sells this drug easily.,-1.0234375,-0.46044921875,patient,patient,-0.56298828125,patient
14,sells,snack,easily,Something sells this snack easily.,-1.3212890625,-0.321533203125,patient,patient,-0.999755859375,patient
15,sells,salesman,easily,Something sells this salesman easily.,-0.982421875,-0.482177734375,patient,patient,-0.500244140625,patient
16,sells,saleswoman,easily,Something sells this saleswoman easily.,-1.1240234375,-0.4052734375,patient,patient,-0.71875,patient
17,sells,businessman,easily,Something sells this businessman easily.,-1.32421875,-0.324462890625,patient,patient,-0.999755859375,patient
18,sells,businesswoman,easily,Something sells this businesswoman easily.,-1.1689453125,-0.387451171875,patient,patient,-0.781494140625,patient
