verb,overall_acc,avg_LL_delta
bakes,0.0,-0.7083217075892857
carves,0.0,-0.68743896484375
cleans,0.05555555555555555,-0.5879267939814815
cooks,0.0,-0.8554823133680556
cuts,0.025,-0.6936614990234375
drives,0.4444444444444444,-0.06939019097222222
embroiders,0.0,-0.8750784737723214
flies,0.0,-0.71875
knits,0.0,-0.8499965122767857
packs,0.0,-0.8062042236328125
paints,0.0,-0.9634246826171875
performs,0.0,-0.6730769230769231
photographs,0.2222222222222222,-0.3750949435763889
plays,0.0,-1.0288179837740385
reads,0.11764705882352941,-0.5440996955422794
sculpts,0.0,-1.1583740234375
sells,0.3611111111111111,-0.1909450954861111
sews,0.0,-0.6749267578125
shaves,0.0,-0.6499837239583334
stitches,0.0,-0.8958231608072916
turns,0.20454545454545456,-0.36933482776988635
washes,0.19230769230769232,-0.39429649939903844
writes,0.17647058823529413,-0.6691822725183824
