model,corr_noun_LL,corr_human,corr_subj
bloom-560m,0.4098466074444027,-0.14605974497496688,-0.12814758110119734
bloom-1b1,0.3238910878056439,-0.49637845602720754,-0.3734692090396517
bloom-1b7,0.0062361459252463485,-0.3349690954785778,-0.26320654975842483
bloom-3b,0.09790730555741872,-0.2551893399885249,-0.28851343738864343
bloom-7b1,0.14397605831079702,0.44048357750671574,0.32298866790893344
gpt2-small,0.5311703507473117,0.14525881405690003,0.16465442173679634
gpt2-medium,0.5372690546180028,0.08196930756018589,0.19502798739311286
gpt2-large,-0.04258100754753851,-0.4121451755624206,-0.35940496442107345
gpt2-xl,0.4068671684245714,0.03401827369784787,0.11725745834612573
gpt3-ada,0.35368285110202546,-0.18466456791038094,-0.10007960769598731
gpt3-babbage,0.5781782737187663,0.603065495703837,0.42361693934908207
gpt3-curie,0.3970136656385824,-0.0760975178814902,-0.0285205286376626
gpt3-davinci,0.7077016209305858,0.7442761121492324,0.5339089953408739
text-ada-001,0.20436544466742784,-0.04883556335971534,-0.07443456322684838
text-babbage-001,0.0776275804622584,-0.03746884035220957,-0.10578205196283869
text-curie-001,0.2799978430214792,-0.032846258047088586,0.0806666019646906
text-davinci-001,0.45284836659026395,0.20101690603808223,0.14907271071645026
text-davinci-003,0.6988345638155935,0.7105867596852071,0.5159344674455038
