verb,overall_acc,avg_LL_delta
bakes,0.0,-0.7422061229035968
carves,0.0,-0.800988445058465
cleans,0.05555555555555555,-0.4347080621454451
cooks,0.0,-0.7249955879317389
cuts,0.0,-0.7294957958161831
drives,0.0,-0.8261069133877754
embroiders,0.0,-0.6516425950186593
flies,0.125,-0.6018594019114971
knits,0.14285714285714285,-0.3391264770712171
packs,0.05,-0.6448759078979492
paints,0.0,-0.4651520196348429
performs,0.38461538461538464,0.05095290220700777
photographs,0.2222222222222222,-0.42929528488053215
plays,0.0,-0.6726247393167936
reads,0.5,0.006547093391418459
sculpts,0.0,-0.5857013583183288
sells,0.3194444444444444,-0.18741748150851992
sews,0.0,-0.4466934114694595
shaves,0.0,-0.6902885397275289
stitches,0.3125,-0.07058706444998585
turns,0.0,-0.6084754257039591
washes,0.038461538461538464,-0.4531333606976729
writes,0.6764705882352942,0.17222651050371282
