id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells easily.,-14.125336,-0.00057285564,patient,patient,-14.124763144360001,patient
1,sells,book,easily,This book sells easily.,-15.233888,-0.0008747952,patient,patient,-15.2330132048,patient
2,sells,novel,easily,This novel sells easily.,-16.24854,-0.00095533516,patient,patient,-16.247584664839998,patient
3,sells,magazine,easily,This magazine sells easily.,-9.093388,-0.00078322703,patient,patient,-9.092604772969999,patient
4,sells,hat,easily,This hat sells easily.,-16.027674,-0.0010720395,patient,patient,-16.026601960500003,patient
5,sells,lotion,easily,This lotion sells easily.,-15.6093645,-0.0007545343,patient,patient,-15.6086099657,patient
6,sells,album,easily,This album sells easily.,-16.106304,-0.0011398852,patient,patient,-16.1051641148,patient
7,sells,car,easily,This car sells easily.,-13.2838545,-0.0007241127,patient,patient,-13.2831303873,patient
8,sells,suv,easily,This SUV sells easily.,-16.014265,-0.00092842686,patient,patient,-16.013336573140002,patient
9,sells,product,easily,This product sells easily.,-15.601459,-0.0007587686,patient,patient,-15.6007002314,patient
10,sells,make,easily,This make sells easily.,-7.3962355,-0.0016658006,patient,patient,-7.394569699400001,patient
11,sells,item,easily,This item sells easily.,-16.11523,-0.0007222635,patient,patient,-16.114507736500002,patient
12,sells,cd,easily,This CD sells easily.,-16.889154,-0.0009304562,patient,patient,-16.888223543800002,patient
13,sells,drug,easily,This drug sells easily.,-15.622081,-0.0007546516,patient,patient,-15.6213263484,patient
14,sells,snack,easily,This snack sells easily.,-17.199957,-0.00092568324,patient,patient,-17.199031316760003,patient
15,sells,salesman,easily,This salesman sells easily.,-0.0008438348,-16.079002,agent,agent,16.078158165199998,agent
16,sells,saleswoman,easily,This saleswoman sells easily.,-0.0011030084,-15.378525,agent,agent,15.3774219916,agent
17,sells,businessman,easily,This businessman sells easily.,-0.0008631615,-15.019195,agent,agent,15.0183318385,agent
18,sells,businesswoman,easily,This businesswoman sells easily.,-0.0011007388,-14.937024,agent,agent,14.9359232612,agent
19,sells,trader,easily,This trader sells easily.,-0.0007714141,-15.125589,agent,agent,15.124817585899999,agent
20,sells,peddler,easily,This peddler sells easily.,-0.0011466885,-13.978686,agent,agent,13.9775393115,agent
21,sells,telemarketer,easily,This telemarketer sells easily.,-0.0012461086,-13.817614,agent,agent,13.8163678914,agent
22,sells,dealer,easily,This dealer sells easily.,-0.00075811247,-15.628473,agent,agent,15.627714887529999,agent
23,sells,shopkeeper,easily,This shopkeeper sells easily.,-0.0010475154,-15.629399,agent,agent,15.6283514846,agent
24,sells,toy,well,This toy sells well.,-16.854866,-0.00091410964,patient,patient,-16.85395189036,patient
25,sells,book,well,This book sells well.,-16.834892,-0.00086495065,patient,patient,-16.83402704935,patient
26,sells,novel,well,This novel sells well.,-16.406792,-0.0008610139,patient,patient,-16.4059309861,patient
27,sells,magazine,well,This magazine sells well.,-12.278557,-0.0005973695,patient,patient,-12.2779596305,patient
