verb,overall_acc,avg_LL_delta
bakes,1.0,12.483084620301188
carves,1.0,13.636848843981248
cleans,1.0,15.06265992224037
cooks,1.0,10.611236495179554
cuts,1.0,15.361758579155502
drives,1.0,17.44892002769111
embroiders,1.0,11.62430204594857
flies,1.0,16.821171821046246
knits,1.0,13.337791162210573
packs,1.0,15.442471849663253
paints,1.0,13.998490609578958
performs,1.0,14.488618550356923
photographs,0.9444444444444444,12.630979633372778
plays,1.0,15.955183056770382
reads,1.0,9.637271361533235
sculpts,1.0,15.785302514948667
sells,1.0,12.64771572138194
sews,1.0,13.871861999957002
shaves,1.0,13.405407220168
stitches,0.8958333333333334,9.67057592036854
turns,1.0,16.959770665912956
washes,1.0,14.847179807840767
writes,1.0,13.371730577080882
