verb,overall_acc,avg_LL_delta
bakes,0.07142857142857142,-0.7087385448671523
carves,0.25,-0.47568306357910234
cleans,0.2222222222222222,-0.5226526188629644
cooks,0.26666666666666666,-0.4281739546193017
cuts,0.1,-0.7916352674365044
drives,0.16666666666666666,-0.7479203591744105
embroiders,0.35714285714285715,-0.32406765648296904
flies,0.375,0.21253014480074248
knits,0.14285714285714285,-0.8481961888926369
packs,0.15,-0.40256423503160477
paints,0.4375,0.08937566168606281
performs,0.7692307692307693,0.6633385832493122
photographs,0.5555555555555556,0.18243402987718588
plays,0.3076923076923077,-0.25959076331211967
reads,0.7647058823529411,0.20190462557708516
sculpts,0.23333333333333334,-0.46440519094467164
sells,0.6805555555555556,0.3802510400613149
sews,0.15,-0.3735322892665863
shaves,0.0,-1.1580037335554758
stitches,0.14583333333333334,-0.7482256097719073
turns,0.13636363636363635,-1.2256534489041024
washes,0.3076923076923077,-0.5353696552606729
writes,0.6470588235294118,0.25245049990275326
