verb,overall_acc,avg_LL_delta
bakes,0.11904761904761904,0.16815476190476192
carves,0.0,0.42181396484375
cleans,0.07407407407407407,0.31191225405092593
cooks,0.15555555555555556,0.16805555555555557
cuts,0.025,0.311737060546875
drives,0.027777777777777776,0.2916463216145833
embroiders,0.07142857142857142,0.22267368861607142
flies,0.0,0.2643229166666667
knits,0.14285714285714285,0.22362583705357142
packs,0.075,0.316754150390625
paints,0.20833333333333334,0.23695882161458334
performs,0.0,0.6899226262019231
photographs,0.1111111111111111,0.13541666666666666
plays,0.0,0.2536057692307692
reads,0.23529411764705882,0.15666647518382354
sculpts,0.0,0.33592122395833335
sells,0.0,0.46295166015625
sews,0.15,0.2179443359375
shaves,0.0,0.20416666666666666
stitches,0.3541666666666667,0.140289306640625
turns,0.0,0.3949196555397727
washes,0.15384615384615385,0.2061767578125
writes,0.0,0.6360653147977942
