verb,overall_acc,avg_LL_delta
bakes,0.07142857142857142,0.5950173898821786
carves,0.0625,0.4377988235404094
cleans,0.2222222222222222,0.6564549925150694
cooks,0.0,0.9132875280247794
cuts,0.175,0.41120022535324097
drives,0.5,-0.0628900056083997
embroiders,0.07142857142857142,0.5122707209416798
flies,0.0,0.7207040873666605
knits,0.6285714285714286,-0.29366989306041175
packs,0.175,0.5096132300794125
paints,0.125,0.39667594743271667
performs,0.0,0.6344631497676556
photographs,0.4444444444444444,0.1740827643209033
plays,0.38461538461538464,0.0632878839969635
reads,0.4411764705882353,-0.04754184712381924
sculpts,0.1,0.39121353328228
sells,0.0,0.7911550965574052
sews,0.0,0.7624677702784538
shaves,0.2,0.23367766539255777
stitches,0.14583333333333334,0.5090886720766624
turns,0.6363636363636364,-0.18946114250204776
washes,0.19230769230769232,0.6376115358792819
writes,0.38235294117647056,-0.04463235683300916
