verb,overall_acc,avg_LL_delta
bakes,0.0,-0.9196661086309523
carves,0.0,-0.917236328125
cleans,0.0,-0.8113493742766203
cooks,0.0,-1.1249728732638888
cuts,0.0,-0.91793212890625
drives,0.0,-0.7370537651909722
embroiders,0.0,-0.9698922293526786
flies,0.08333333333333333,-0.463531494140625
knits,0.0,-1.0285295758928572
packs,0.0,-0.909344482421875
paints,0.0,-0.8991139729817709
performs,0.07692307692307693,-0.5047889122596154
photographs,0.16666666666666666,-0.8506401909722222
plays,0.0,-0.6814716045673077
reads,0.029411764705882353,-0.5468319163602942
sculpts,0.0,-0.9603800455729167
sells,0.027777777777777776,-0.7061937120225694
sews,0.0,-0.87342529296875
shaves,0.0,-0.9873860677083334
stitches,0.0,-0.7428232828776041
turns,0.0,-0.5894719904119318
washes,0.0,-0.8834416316105769
writes,0.058823529411764705,-0.5973905675551471
