verb,overall_acc,avg_LL_delta
bakes,1.0,-15.420618524713099
carves,1.0,-16.68219150421063
cleans,1.0,-15.888818387177594
cooks,1.0,-16.663237342851556
cuts,1.0,-15.686125900882496
drives,1.0,-14.90240796075806
embroiders,0.9642857142857143,-12.575350819777144
flies,1.0,-12.79081356233125
knits,1.0,-15.436071368485432
packs,1.0,-17.253223024212502
paints,1.0,-15.469587485884999
performs,1.0,-15.079133730456924
photographs,1.0,-15.539681960362223
plays,1.0,-12.123644368480766
reads,1.0,-15.711873610954415
sculpts,1.0,-15.895649401766002
sells,1.0,-15.51768344138764
sews,1.0,-13.625572264530001
shaves,1.0,-12.560381209875334
stitches,1.0,-14.65152751519875
turns,1.0,-14.915476302193412
washes,1.0,-16.31364758929192
writes,1.0,-13.191451713043822
