verb,overall_acc,avg_LL_delta
bakes,0.0,-1.321731772142857
carves,0.0,-0.8332456022916667
cleans,0.0,-1.0444743318518515
cooks,0.0,-1.016524335111111
cuts,0.0,-0.834929833
drives,0.0,-0.98890637
embroiders,0.0,-0.8871283317857143
flies,0.0,-0.7223671937500001
knits,0.0,-1.1274233865714285
packs,0.0,-1.094919039
paints,0.0,-0.9155459225000002
performs,0.0,-0.7643279546153846
photographs,0.0,-0.5933220227777778
plays,0.0,-0.6524559065384613
reads,0.0,-0.8463159300000002
sculpts,0.0,-0.8352155740000001
sells,0.0,-0.8314723986111109
sews,0.0,-0.917445649
shaves,0.0,-0.8694216186666668
stitches,0.0,-1.1327813366666668
turns,0.0,-0.6391537188636365
washes,0.0,-1.0943114326923076
writes,0.058823529411764705,-0.844512259117647
