model,overall_acc
bloom-560m,0.09046454767726161
bloom-1b1,0.7811735941320294
bloom-1b7,0.013447432762836185
bloom-3b,0.05867970660146699
bloom-7b1,0.017114914425427872
gpt2-small,0.7958435207823961
gpt2-medium,0.0
gpt2-large,0.38875305623471884
gpt2-xl,0.0012224938875305623
gpt3-ada,0.0
gpt3-babbage,0.0
gpt3-curie,0.0024449877750611247
gpt3-davinci,0.4315403422982885
text-ada-001,0.08924205378973105
text-babbage-001,0.044009779951100246
text-curie-001,0.034229828850855744
text-davinci-001,0.9682151589242054
text-davinci-003,0.9926650366748166
