model,agent_acc,patient_acc,overall_acc,macro_f1,thresh_overall_acc,thresh_macro_f1,min_LL,max_LL,thresh
bloom-560m,0.026392961876832845,0.9769392033542977,0.5806845965770171,0.3904209440008691,0.5819070904645477,0.3678516228748067,-2.25091552734375,0.750244140625,0.3490844726562523
bloom-1b1,0.46920821114369504,0.4192872117400419,0.4400977995110024,0.43875576009252104,0.6026894865525673,0.4269424355754826,-0.78125,1.3433837890625,0.9187499999999997
bloom-1b7,0.7536656891495601,0.949685534591195,0.8679706601466992,0.8599288418729429,0.8875305623471883,0.8847075405214939,-1.4063720703125,0.8125,-0.20637207031249893
bloom-3b,0.0,1.0,0.5831295843520783,0.36833976833976834,0.7530562347188264,0.743982101244484,-3.328460693359375,-0.609375,-1.7284606933593736
bloom-7b1,0.9120234604105572,0.11949685534591195,0.44987775061124696,0.3911757700857415,0.6735941320293398,0.626300597320868,-0.453125,1.109130859375,0.5468749999999998
gpt2-small,0.8651026392961877,0.29350104821802936,0.5317848410757946,0.5143474102424589,0.6430317848410758,0.5956555007076062,-1.3698959946632383,2.6293944120407104,1.130104005336764
gpt2-medium,0.011730205278592375,0.9790356394129979,0.5757946210268948,0.37582654396323295,0.7555012224938875,0.7553242402488634,-4.3632353357970715,0.4694214463233948,-1.663235335797081
gpt2-large,0.8592375366568915,0.639412997903564,0.7310513447432763,0.7309934527190649,0.7493887530562348,0.7463865106480159,-2.394903279840946,2.210236452519893,0.2050967201590561
gpt2-xl,0.0,1.0,0.5831295843520783,0.36833976833976834,0.7334963325183375,0.7079337002096435,-3.085425306111574,-0.9920196533203125,-1.885425306111573
gpt3-ada,0.017595307917888565,1.0,0.5904645476772616,0.3873453719457256,0.7163814180929096,0.6845080163052514,-7.638480973,2.4120256999999996,-3.5384809730000146
gpt3-babbage,0.0,1.0,0.5831295843520783,0.36833976833976834,0.7530562347188264,0.7363345077614378,-3.246751373,-0.83616252,-2.046751372999999
gpt3-curie,0.0,1.0,0.5831295843520783,0.36833976833976834,0.636919315403423,0.6293362423428714,-1.9926509000000001,-0.3462658599999999,-0.8926508999999991
gpt3-davinci,0.2961876832844575,1.0,0.706601466992665,0.6280042747675028,0.8459657701711492,0.839349842884932,-3.327213263,1.23422072,-1.027213262999998
text-ada-001,0.30498533724340177,0.8846960167714885,0.6430317848410758,0.5794788732394366,0.6711491442542787,0.6509015333603039,-11.572362347,5.83661524,-1.6723623470000355
text-babbage-001,0.0,0.9769392033542977,0.5696821515892421,0.36292834890965736,0.5819070904645477,0.3678516228748067,-6.408366557500001,1.03460504,0.8916334424999732
text-curie-001,0.0,1.0,0.5831295843520783,0.36833976833976834,0.6100244498777506,0.5358514394471668,-6.2493392223,-0.6296098000000001,-2.449339222300013
text-davinci-001,0.9648093841642229,0.25157232704402516,0.5488997555012225,0.5173948705157784,0.8019559902200489,0.7804528917075886,-4.0063751970000006,13.5461723776,6.593624803000008
text-davinci-003,0.9970674486803519,0.8553459119496856,0.9144254278728606,0.9138299473288187,0.9669926650366748,0.9661773826752118,-19.108089518,17.681898348399997,9.891910482000412
