verb,gpt3-davinci_subj_acc,gpt3-davinci_subj_avg_LL_delta,gpt3-davinci_obj_acc,gpt3-davinci_obj_avg_LL_delta,gpt3-babbage_subj_acc,gpt3-babbage_subj_avg_LL_delta,gpt3-babbage_obj_acc,gpt3-babbage_obj_avg_LL_delta,text-davinci-001_subj_acc,text-davinci-001_subj_avg_LL_delta,text-davinci-001_obj_acc,text-davinci-001_obj_avg_LL_delta,bloom-1b1_subj_acc,bloom-1b1_subj_avg_LL_delta,bloom-1b1_obj_acc,bloom-1b1_obj_avg_LL_delta,bloom-3b_subj_acc,bloom-3b_subj_avg_LL_delta,bloom-3b_obj_acc,bloom-3b_obj_avg_LL_delta,gpt2-x_subj_acc,gpt2-x_subj_avg_LL_delta,gpt2-x_obj_acc,gpt2-x_obj_avg_LL_delta,bloom-560m_subj_acc,bloom-560m_subj_avg_LL_delta,bloom-560m_obj_acc,bloom-560m_obj_avg_LL_delta,gpt3-ada_subj_acc,gpt3-ada_subj_avg_LL_delta,gpt3-ada_obj_acc,gpt3-ada_obj_avg_LL_delta,gpt3-curie_subj_acc,gpt3-curie_subj_avg_LL_delta,gpt3-curie_obj_acc,gpt3-curie_obj_avg_LL_delta,text-davinci-003_subj_acc,text-davinci-003_subj_avg_LL_delta,text-davinci-003_obj_acc,text-davinci-003_obj_avg_LL_delta,gpt2-medium_subj_acc,gpt2-medium_subj_avg_LL_delta,gpt2-medium_obj_acc,gpt2-medium_obj_avg_LL_delta,gpt2-xl_subj_acc,gpt2-xl_subj_avg_LL_delta,gpt2-xl_obj_acc,gpt2-xl_obj_avg_LL_delta,bloom-1b7_subj_acc,bloom-1b7_subj_avg_LL_delta,bloom-1b7_obj_acc,bloom-1b7_obj_avg_LL_delta,text-ada-001_subj_acc,text-ada-001_subj_avg_LL_delta,text-ada-001_obj_acc,text-ada-001_obj_avg_LL_delta,gpt2-large_subj_acc,gpt2-large_subj_avg_LL_delta,gpt2-large_obj_acc,gpt2-large_obj_avg_LL_delta,text-curie-001_subj_acc,text-curie-001_subj_avg_LL_delta,text-curie-001_obj_acc,text-curie-001_obj_avg_LL_delta,text-babbage-001_subj_acc,text-babbage-001_subj_avg_LL_delta,text-babbage-001_obj_acc,text-babbage-001_obj_avg_LL_delta,bloom-7b1_subj_acc,bloom-7b1_subj_avg_LL_delta,bloom-7b1_obj_acc,bloom-7b1_obj_avg_LL_delta
bakes,0.4047619047619047,-0.1526887992857142,1.0,-0.7054327101934523,0.0,-1.9633154254047624,1.0,-0.7054327101934523,0.9761904761904762,2.990101141409524,1.0,-0.7054327101934523,0.7142857142857143,0.1793445405505952,1.0,-0.7054327101934523,0.0,-0.4806576683407738,1.0,-0.7054327101934523,1.0,0.5933770594142732,1.0,-0.7054327101934523,0.0,-0.7083217075892857,1.0,-0.7054327101934523,0.0,-5.899726780345238,1.0,-0.7054327101934523,0.0,-1.321731772142857,1.0,-0.7054327101934523,1.0,12.483084620301188,1.0,-0.7054327101934523,0.0,-2.3706203548326377,1.0,-0.7054327101934523,0.0,-1.228229736643178,1.0,-0.7054327101934523,0.0,-0.9196661086309524,1.0,-0.7054327101934523,0.0,-11.337240458862144,1.0,-0.7054327101934523,0.4285714285714285,-0.2692931705997103,1.0,-0.7054327101934523,0.0,-3.3143781414047617,1.0,-0.7054327101934523,0.0,-3.5546892656428577,1.0,-0.7054327101934523,0.0,-0.4397670200892857,1.0,-0.7054327101934523
carves,0.7083333333333334,0.4859058210416667,1.0,-0.4498850504557292,0.0,-1.7562856806249991,1.0,-0.4498850504557292,1.0,6.767279270054167,1.0,-0.4498850504557292,0.3333333333333333,-0.11981201171875,1.0,-0.4498850504557292,0.0208333333333333,-0.7402140299479166,1.0,-0.4498850504557292,1.0,0.3779219767699639,1.0,-0.4498850504557292,0.0,-0.68743896484375,1.0,-0.4498850504557292,0.0,-5.129242645983332,1.0,-0.4498850504557292,0.0,-0.8332456022916667,1.0,-0.4498850504557292,1.0,13.636848843981248,1.0,-0.4498850504557292,0.0,-2.1921963027367988,1.0,-0.4498850504557292,0.0,-0.8677136708671848,1.0,-0.4498850504557292,0.0,-0.917236328125,1.0,-0.4498850504557292,0.0,-7.728783664635626,1.0,-0.4498850504557292,0.2083333333333333,-0.2462727228800455,1.0,-0.4498850504557292,0.0,-1.8576175997708333,1.0,-0.4498850504557292,0.0,-3.3063100633541667,1.0,-0.4498850504557292,0.1875,-0.1810048421223958,1.0,-0.4498850504557292
cleans,0.2962962962962963,-0.3227763887037037,1.0,-0.6941460503472222,0.0,-1.6676213459259257,1.0,-0.6941460503472222,1.0,7.557364323657407,1.0,-0.6941460503472222,0.7962962962962963,0.3888572410300926,1.0,-0.6941460503472222,0.074074074074074,-0.4956597222222222,1.0,-0.6941460503472222,0.9814814814814816,0.8007669752394712,1.0,-0.6941460503472222,0.0555555555555555,-0.5879267939814815,1.0,-0.6941460503472222,0.0,-4.528891674398147,1.0,-0.6941460503472222,0.0,-1.0444743318518517,1.0,-0.6941460503472222,1.0,15.06265992224037,1.0,-0.6941460503472222,0.0,-1.9941048754586117,1.0,-0.6941460503472222,0.0,-0.7802120088427155,1.0,-0.6941460503472222,0.0,-0.8113493742766203,1.0,-0.6941460503472222,0.2592592592592592,-1.905420966620371,1.0,-0.6941460503472222,0.925925925925926,0.5078047138673288,1.0,-0.6941460503472222,0.0,-1.478355986574074,1.0,-0.6941460503472222,0.0185185185185185,-1.6239745791666662,1.0,-0.6941460503472222,0.0,-0.3877631293402778,1.0,-0.6941460503472222
cooks,0.2666666666666666,-0.2108634691111111,1.0,-0.6972059461805555,0.0,-1.7159510877777782,1.0,-0.6972059461805555,0.7111111111111111,2.2729559435622217,1.0,-0.6972059461805555,0.8,0.1774251302083333,1.0,-0.6972059461805555,0.0222222222222222,-0.4802571614583333,1.0,-0.6972059461805555,1.0,0.7750264399581486,1.0,-0.6972059461805555,0.0,-0.8554823133680556,1.0,-0.6972059461805555,0.0,-5.876501035933334,1.0,-0.6972059461805555,0.0,-1.016524335111111,1.0,-0.6972059461805555,1.0,10.611236495179554,1.0,-0.6972059461805555,0.0,-2.384442311856482,1.0,-0.6972059461805555,0.0,-0.9067977468172708,1.0,-0.6972059461805555,0.0,-1.1249728732638888,1.0,-0.6972059461805555,0.0,-10.444817525499111,1.0,-0.6972059461805555,0.7333333333333333,0.2362354748778873,1.0,-0.6972059461805555,0.0,-2.212807703244444,1.0,-0.6972059461805555,0.0,-2.3343038294444445,1.0,-0.6972059461805555,0.0,-0.4773708767361111,1.0,-0.6972059461805555
cuts,0.575,0.35437489075,1.0,-0.63907470703125,0.0,-1.7097994090249995,1.0,-0.63907470703125,1.0,8.091865179247499,1.0,-0.63907470703125,0.675,0.113671875,1.0,-0.63907470703125,0.0,-0.79530029296875,1.0,-0.63907470703125,0.675,0.2194935888051986,1.0,-0.63907470703125,0.025,-0.6936614990234375,1.0,-0.63907470703125,0.0,-4.871284763074999,1.0,-0.63907470703125,0.0,-0.834929833,1.0,-0.63907470703125,1.0,15.361758579155502,1.0,-0.63907470703125,0.0,-2.3916797686368225,1.0,-0.63907470703125,0.0,-0.654633904248476,1.0,-0.63907470703125,0.0,-0.91793212890625,1.0,-0.63907470703125,0.225,-3.66085221426,1.0,-0.63907470703125,0.05,-0.8103697273880244,1.0,-0.63907470703125,0.075,-1.0994412802250002,1.0,-0.63907470703125,0.0,-2.5481485200000003,1.0,-0.63907470703125,0.0,-0.380120849609375,1.0,-0.63907470703125
drives,0.8611111111111112,0.5283662333333333,1.0,-0.7162000868055556,0.0,-1.5477631936111114,1.0,-0.7162000868055556,1.0,5.7385303624388895,1.0,-0.7162000868055556,1.0,1.086402045355903,1.0,-0.7162000868055556,0.0277777777777777,-0.3424343532986111,1.0,-0.7162000868055556,0.5,-0.0023808976014455,1.0,-0.7162000868055556,0.4444444444444444,-0.0693901909722222,1.0,-0.7162000868055556,0.0,-4.740219702736111,1.0,-0.7162000868055556,0.0,-0.98890637,1.0,-0.7162000868055556,1.0,17.44892002769111,1.0,-0.7162000868055556,0.0,-2.1511796466592283,1.0,-0.7162000868055556,0.0,-0.9765088632702827,1.0,-0.7162000868055556,0.0,-0.7370537651909722,1.0,-0.7162000868055556,0.1111111111111111,-3.766926910461111,1.0,-0.7162000868055556,0.3888888888888889,-0.2196008306410577,1.0,-0.7162000868055556,0.0,-1.4319765201666668,1.0,-0.7162000868055556,0.25,-0.7514018947222223,1.0,-0.7162000868055556,0.0,-0.4249131944444444,1.0,-0.7162000868055556
embroiders,0.3214285714285714,-0.3255123214285714,1.0,-0.6657191685267857,0.0,-2.409713387892857,1.0,-0.6657191685267857,1.0,5.012681443664286,1.0,-0.6657191685267857,0.6071428571428571,0.0496390206473214,1.0,-0.6657191685267857,0.0,-0.7422049386160714,1.0,-0.6657191685267857,0.9285714285714286,0.6236532224076135,1.0,-0.6657191685267857,0.0,-0.8750784737723214,1.0,-0.6657191685267857,0.0,-4.879738309125001,1.0,-0.6657191685267857,0.0,-0.8871283317857143,1.0,-0.6657191685267857,1.0,11.62430204594857,1.0,-0.6657191685267857,0.0,-2.282888415136508,1.0,-0.6657191685267857,0.0,-1.022677701498781,1.0,-0.6657191685267857,0.0,-0.9698922293526786,1.0,-0.6657191685267857,0.0,-7.402140760406786,1.0,-0.6657191685267857,0.0,-1.0934668694223677,1.0,-0.6657191685267857,0.0,-2.837610375214286,1.0,-0.6657191685267857,0.0,-3.016211204785713,1.0,-0.6657191685267857,0.0,-0.3063703264508928,1.0,-0.6657191685267857
flies,0.875,0.8204920270833335,1.0,-0.5787353515625,0.0,-1.5119927599999998,1.0,-0.5787353515625,1.0,7.368885517766668,1.0,-0.5787353515625,1.0,1.6849746704101562,1.0,-0.5787353515625,0.4166666666666667,-0.1055094401041666,1.0,-0.5787353515625,0.9166666666666666,0.7155602847536405,1.0,-0.5787353515625,0.0,-0.71875,1.0,-0.5787353515625,0.0,-4.620973400291668,1.0,-0.5787353515625,0.0,-0.7223671937500001,1.0,-0.5787353515625,1.0,16.821171821046246,1.0,-0.5787353515625,0.0,-1.8550017774105072,1.0,-0.5787353515625,0.0,-0.7539037441213926,1.0,-0.5787353515625,0.0833333333333333,-0.463531494140625,1.0,-0.5787353515625,0.0,-5.013402953375,1.0,-0.5787353515625,0.2916666666666667,-0.336889902750651,1.0,-0.5787353515625,0.0833333333333333,-0.7145295024999999,1.0,-0.5787353515625,0.125,-1.4830313222083331,1.0,-0.5787353515625,0.0,-0.33331298828125,1.0,-0.5787353515625
knits,0.2571428571428571,-0.2733483557142857,1.0,-0.8290108816964286,0.0,-2.153434878457143,1.0,-0.8290108816964286,0.8285714285714286,3.102389990028572,1.0,-0.8290108816964286,0.7142857142857143,0.273193359375,1.0,-0.8290108816964286,0.0,-1.2227329799107145,1.0,-0.8290108816964286,0.4857142857142857,-0.0615209221839904,1.0,-0.8290108816964286,0.0,-0.8499965122767857,1.0,-0.8290108816964286,0.0,-5.494060011457145,1.0,-0.8290108816964286,0.0,-1.1274233865714285,1.0,-0.8290108816964286,1.0,13.337791162210571,1.0,-0.8290108816964286,0.0,-1.9913027031081063,1.0,-0.8290108816964286,0.0,-0.992770163502012,1.0,-0.8290108816964286,0.0,-1.0285295758928572,1.0,-0.8290108816964286,0.0857142857142857,-8.418894630897142,1.0,-0.8290108816964286,0.0857142857142857,-0.7394473774092538,1.0,-0.8290108816964286,0.0,-3.191053905574285,1.0,-0.8290108816964286,0.0,-3.74037628832857,1.0,-0.8290108816964286,0.0,-0.484375,1.0,-0.8290108816964286
packs,0.075,-1.03224480675,1.0,-0.72508544921875,0.0,-1.9619086193750004,1.0,-0.72508544921875,1.0,4.115761457179998,1.0,-0.72508544921875,0.975,0.4562255859375,1.0,-0.72508544921875,0.1,-0.45660400390625,1.0,-0.72508544921875,0.85,0.5242006741464138,1.0,-0.72508544921875,0.0,-0.8062042236328125,1.0,-0.72508544921875,0.0,-4.771650080275001,1.0,-0.72508544921875,0.0,-1.094919039,1.0,-0.72508544921875,1.0,15.442471849663251,1.0,-0.72508544921875,0.0,-2.136239428818226,1.0,-0.72508544921875,0.0,-0.960877963900566,1.0,-0.72508544921875,0.0,-0.909344482421875,1.0,-0.72508544921875,0.0,-7.009930568877249,1.0,-0.72508544921875,0.1,-0.6503763206303119,1.0,-0.72508544921875,0.0,-1.4443188462,1.0,-0.72508544921875,0.0,-2.4362498099250005,1.0,-0.72508544921875,0.0,-0.3609619140625,1.0,-0.72508544921875
