verb,overall_acc,avg_LL_delta
bakes,0.8809523809523809,-1.866101309357143
carves,0.08333333333333333,2.7244463671145827
cleans,0.2962962962962963,0.9140744993888887
cooks,0.9111111111111111,-2.059787466488889
cuts,0.2,1.5243746673999998
drives,0.08333333333333333,3.9204698328250007
embroiders,0.75,-1.0487588826428573
flies,0.125,3.9220869523041664
knits,0.9142857142857143,-2.3037549415914285
packs,0.525,0.35188215555
paints,0.5625,0.24358394322916666
performs,0.07692307692307693,3.660910130461538
photographs,0.3333333333333333,0.8718583770000001
plays,0.0,3.2169684580384614
reads,0.5882352941176471,0.4455882825
sculpts,0.1,2.4623144157333328
sells,0.0,3.505964678801389
sews,0.7,-1.298492345825
shaves,0.4,0.570272072
stitches,0.75,-1.48550034201875
turns,0.3409090909090909,2.636813251515908
washes,0.9230769230769231,-1.8404920039615382
writes,0.058823529411764705,3.635653392917647
