verb,overall_acc,avg_LL_delta
bakes,0.9761904761904762,3.5510933239214273
carves,1.0,7.483880769316666
cleans,1.0,6.769449166403704
cooks,1.0,3.5660513597511114
cuts,1.0,7.5616434964425
drives,1.0,6.380500049619443
embroiders,0.9642857142857143,4.701889291135714
flies,1.0,7.857436879450002
knits,0.8857142857142857,3.9023283664257136
packs,1.0,4.805211234625001
paints,1.0,6.9756059715166705
performs,1.0,6.453161246092307
photographs,1.0,5.570782145138889
plays,1.0,6.770261876142308
reads,0.9411764705882353,3.5730762543147057
sculpts,1.0,7.2157805727866675
sells,1.0,7.848148935413887
sews,0.95,5.847797947475
shaves,1.0,6.848183680513333
stitches,0.9583333333333334,5.382481898077084
turns,1.0,8.249786343429546
washes,1.0,3.715503190146154
writes,1.0,7.29618656634412
