id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,Something sells this toy easily.,-0.0487060546875,-3.173828125,patient,agent,3.1251220703125,patient
1,sells,book,easily,Something sells this book easily.,-0.05963134765625,-2.982421875,patient,agent,2.92279052734375,patient
2,sells,novel,easily,Something sells this novel easily.,-0.0634765625,-2.890625,patient,agent,2.8271484375,patient
3,sells,magazine,easily,Something sells this magazine easily.,-0.048095703125,-3.205078125,patient,agent,3.156982421875,patient
4,sells,hat,easily,Something sells this hat easily.,-0.047943115234375,-3.189453125,patient,agent,3.141510009765625,patient
5,sells,lotion,easily,Something sells this lotion easily.,-0.06768798828125,-2.818359375,patient,agent,2.75067138671875,patient
6,sells,album,easily,Something sells this album easily.,-0.067138671875,-2.84765625,patient,agent,2.780517578125,patient
7,sells,car,easily,Something sells this car easily.,-0.06353759765625,-2.908203125,patient,agent,2.84466552734375,patient
8,sells,suv,easily,Something sells this SUV easily.,-0.055450439453125,-3.0859375,patient,agent,3.030487060546875,patient
9,sells,product,easily,Something sells this product easily.,-0.08349609375,-2.693359375,patient,agent,2.60986328125,patient
10,sells,make,easily,Something sells this make easily.,-0.06787109375,-2.818359375,patient,agent,2.75048828125,patient
11,sells,item,easily,Something sells this item easily.,-0.064208984375,-3.033203125,patient,agent,2.968994140625,patient
12,sells,cd,easily,Something sells this CD easily.,-0.08026123046875,-2.736328125,patient,agent,2.65606689453125,patient
13,sells,drug,easily,Something sells this drug easily.,-0.0960693359375,-2.470703125,patient,agent,2.3746337890625,patient
14,sells,snack,easily,Something sells this snack easily.,-0.051849365234375,-3.083984375,patient,agent,3.032135009765625,patient
15,sells,salesman,easily,Something sells this salesman easily.,-0.093017578125,-2.484375,patient,agent,2.391357421875,patient
16,sells,saleswoman,easily,Something sells this saleswoman easily.,-0.10284423828125,-2.384765625,patient,agent,2.28192138671875,patient
17,sells,businessman,easily,Something sells this businessman easily.,-0.11676025390625,-2.2734375,patient,agent,2.15667724609375,patient
18,sells,businesswoman,easily,Something sells this businesswoman easily.,-0.1434326171875,-2.064453125,patient,agent,1.9210205078125,patient
19,sells,trader,easily,Something sells this trader easily.,-0.08428955078125,-2.583984375,patient,agent,2.49969482421875,patient
20,sells,peddler,easily,Something sells this peddler easily.,-0.1224365234375,-2.216796875,patient,agent,2.0943603515625,patient
21,sells,telemarketer,easily,Something sells this telemarketer easily.,-0.1339111328125,-2.150390625,patient,agent,2.0164794921875,patient
22,sells,dealer,easily,Something sells this dealer easily.,-0.08197021484375,-2.61328125,patient,agent,2.53131103515625,patient
23,sells,shopkeeper,easily,Something sells this shopkeeper easily.,-0.140625,-2.09375,patient,agent,1.953125,patient
24,sells,toy,well,Something sells this toy well.,-0.0721435546875,-2.759765625,patient,agent,2.6876220703125,patient
25,sells,book,well,Something sells this book well.,-0.0906982421875,-2.54296875,patient,agent,2.4522705078125,patient
26,sells,novel,well,Something sells this novel well.,-0.0943603515625,-2.484375,patient,agent,2.3900146484375,patient
27,sells,magazine,well,Something sells this magazine well.,-0.082763671875,-2.62890625,patient,agent,2.546142578125,patient
28,sells,hat,well,Something sells this hat well.,-0.072998046875,-2.744140625,patient,agent,2.671142578125,patient
29,sells,lotion,well,Something sells this lotion well.,-0.12286376953125,-2.216796875,patient,agent,2.09393310546875,patient
30,sells,album,well,Something sells this album well.,-0.10955810546875,-2.34375,patient,agent,2.23419189453125,patient
31,sells,car,well,Something sells this car well.,-0.0914306640625,-2.529296875,patient,agent,2.4378662109375,patient
32,sells,suv,well,Something sells this SUV well.,-0.0838623046875,-2.630859375,patient,agent,2.5469970703125,patient
33,sells,product,well,Something sells this product well.,-0.11962890625,-2.306640625,patient,agent,2.18701171875,patient
34,sells,make,well,Something sells this make well.,-0.0924072265625,-2.498046875,patient,agent,2.4056396484375,patient
35,sells,item,well,Something sells this item well.,-0.08349609375,-2.693359375,patient,agent,2.60986328125,patient
36,sells,cd,well,Something sells this CD well.,-0.1290283203125,-2.23828125,patient,agent,2.1092529296875,patient
37,sells,drug,well,Something sells this drug well.,-0.146728515625,-2.052734375,patient,agent,1.906005859375,patient
38,sells,snack,well,Something sells this snack well.,-0.084228515625,-2.583984375,patient,agent,2.499755859375,patient
39,sells,salesman,well,Something sells this salesman well.,-0.11676025390625,-2.2578125,patient,agent,2.14105224609375,patient
40,sells,saleswoman,well,Something sells this saleswoman well.,-0.13671875,-2.10546875,patient,agent,1.96875,patient
41,sells,businessman,well,Something sells this businessman well.,-0.13427734375,-2.134765625,patient,agent,2.00048828125,patient
42,sells,businesswoman,well,Something sells this businesswoman well.,-0.1844482421875,-1.8251953125,patient,agent,1.6407470703125,patient
43,sells,trader,well,Something sells this trader well.,-0.0970458984375,-2.44140625,patient,agent,2.3443603515625,patient
44,sells,peddler,well,Something sells this peddler well.,-0.14892578125,-2.0234375,patient,agent,1.87451171875,patient
45,sells,telemarketer,well,Something sells this telemarketer well.,-0.1558837890625,-2.0,patient,agent,1.8441162109375,patient
46,sells,dealer,well,Something sells this dealer well.,-0.09429931640625,-2.46875,patient,agent,2.37445068359375,patient
47,sells,shopkeeper,well,Something sells this shopkeeper well.,-0.163818359375,-1.9453125,patient,agent,1.781494140625,patient
48,sells,toy,quickly,Something sells this toy quickly.,-0.0675048828125,-2.833984375,patient,agent,2.7664794921875,patient
49,sells,book,quickly,Something sells this book quickly.,-0.08502197265625,-2.6171875,patient,agent,2.53216552734375,patient
50,sells,novel,quickly,Something sells this novel quickly.,-0.09326171875,-2.5,patient,agent,2.40673828125,patient
51,sells,magazine,quickly,Something sells this magazine quickly.,-0.07220458984375,-2.775390625,patient,agent,2.70318603515625,patient
52,sells,hat,quickly,Something sells this hat quickly.,-0.061004638671875,-2.935546875,patient,agent,2.874542236328125,patient
53,sells,lotion,quickly,Something sells this lotion quickly.,-0.0982666015625,-2.44140625,patient,agent,2.3431396484375,patient
54,sells,album,quickly,Something sells this album quickly.,-0.10284423828125,-2.416015625,patient,agent,2.31317138671875,patient
55,sells,car,quickly,Something sells this car quickly.,-0.0855712890625,-2.6015625,patient,agent,2.5159912109375,patient
56,sells,suv,quickly,Something sells this SUV quickly.,-0.07891845703125,-2.703125,patient,agent,2.62420654296875,patient
57,sells,product,quickly,Something sells this product quickly.,-0.1182861328125,-2.337890625,patient,agent,2.2196044921875,patient
58,sells,make,quickly,Something sells this make quickly.,-0.08282470703125,-2.61328125,patient,agent,2.53045654296875,patient
