verb,overall_acc,avg_LL_delta
bakes,0.5476190476190477,-0.02344912574404762
carves,0.9166666666666666,-0.4898935953776042
cleans,0.3888888888888889,0.06422254774305555
cooks,0.5777777777777777,-0.08262803819444445
cuts,0.775,-0.192578125
drives,0.0,0.6505872938368056
embroiders,0.7857142857142857,-0.27676827566964285
flies,0.0,1.1868082682291667
knits,0.4,-0.009842354910714286
packs,0.325,0.078515625
paints,0.4791666666666667,0.0234375
performs,0.23076923076923078,0.1477989783653846
photographs,0.1111111111111111,0.2378472222222222
plays,0.8846153846153846,-0.2680100661057692
reads,0.38235294117647056,0.10519588694852941
sculpts,0.7666666666666667,-0.12760416666666666
sells,0.0,0.7022603352864584
sews,0.75,-0.31636962890625
shaves,0.8,-0.1927734375
stitches,1.0,-0.5505218505859375
turns,0.0,0.6274552778764204
washes,0.46153846153846156,0.11419208233173077
writes,0.17647058823529413,0.37508616727941174
