noun,LL_agent,LL_patient,semantic role,predicted,LL_delta,subj_ratio,human_rating,human_rating_var
abstract,-0.15473825,-2.0263698,patient,agent,1.8716315499999998,0.5061384467387379,0.18055555550000002,0.6830065359
actor,-0.20569964,-1.8414162,agent,agent,1.63571656,0.7870054608959005,0.9166666667500001,0.4705882353
aircraft,-0.5739006,-0.8447079,patient,agent,0.2708073,0.5512745470387167,0.58333333325,1.176470588
album,-0.80685604,-0.60679406,patient,patient,-0.20006197999999997,0.3446793627476697,0.26388888899999996,0.9967320261
animal,-1.4291414,-0.2752536,patient,patient,-1.1538878000000001,0.6993929901941651,0.72222222225,1.281045752
announcer,-0.08709696,-2.8244822,agent,agent,2.73738524,0.9088548566583649,0.9444444445,0.1830065359
artisan,-0.32498753,-1.3180324,agent,agent,0.9930448700000001,0.7392035988003999,0.8333333332499999,0.7058823529
artist,-0.5128517,-0.9639601,agent,agent,0.45110839999999996,0.8388102441595283,0.9305555555,0.2124183007
author,-0.4694075,-1.1847034,agent,agent,0.7152959000000001,0.9103466492053656,0.888888889,0.4967320261
aviator,-0.65649194,-0.7023488,agent,agent,0.04585686,0.6835275033180946,0.9444444445,0.1830065359
backpack,-0.87816226,-0.5434931,patient,patient,-0.33466916,0.0699400657020337,0.27777777775,0.8104575163
backpacker,-1.2418336,-0.34561762,agent,patient,-0.89621598,0.6902173913043478,0.8333333332499999,0.5882352941
bag,-0.8021265,-0.5988012,patient,patient,-0.20332529999999993,0.14003512108607,0.23611111099999998,0.7614379085
baker,-0.35877946,-1.2329293,agent,agent,0.8741498399999998,0.8327493152398071,0.875,0.7352941176
barber,-0.5864717,-0.81104225,agent,agent,0.22457054999999992,0.7248762775364598,0.9305555555,0.2124183007
basket,-0.78635615,-0.611603,patient,patient,-0.17475315000000002,0.2088464198880839,0.19444444449999998,1.006535948
beard,-1.4458317,-0.27610472,patient,patient,-1.16972698,0.3522682168119178,0.15277777775,0.4869281046
bedding,-0.6280871,-0.7771981,patient,agent,0.149111,0.3901065107242925,0.15277777775,0.839869281
bike,-1.2070657,-0.35986507,patient,patient,-0.84720063,0.1156069862966414,0.41666666674999997,1.411764706
blanket,-0.93970525,-0.5028998,patient,patient,-0.43680545000000004,0.154494679287436,0.18055555550000002,0.6830065359
blogger,-0.28095937,-1.4327109,agent,agent,1.15175153,0.8292682926829268,0.861111111,0.614379085
board,-0.42171115,-1.2087516,patient,agent,0.7870404500000001,0.7414235775059675,0.18055555550000002,0.5653594771
book,-1.2987144,-0.32025018,patient,patient,-0.97846422,0.5020426434046468,0.29166666674999997,0.9705882353
bottle,-0.5474212,-0.86704206,patient,agent,0.3196208599999999,0.1436385818924487,0.18055555550000002,1.035947712
bowl,-0.49344322,-0.9780581,patient,agent,0.48461488,0.2281092633291224,0.13888888900000002,0.3790849673
bread,-0.97082233,-0.4778329,patient,patient,-0.49298942999999995,0.2154453347938708,0.13888888900000002,0.3790849673
broadcaster,-0.1707261,-1.9313102,agent,agent,1.7605841,0.8976559616094499,0.888888889,0.3790849673
building,-0.8024615,-0.6009443,patient,patient,-0.20151720000000006,0.5989896090029184,0.22222222225,0.9281045752
bus,-1.1276728,-0.39003623,patient,patient,-0.73763657,0.3936552556306598,0.54166666675,1.205882353
busboy,-0.598257,-0.7946519,agent,agent,0.19639489999999993,0.7171145685997171,0.8194444445,0.5653594771
businessman,-0.27656564,-1.4284806,agent,agent,1.15191496,0.8271439509954058,0.9027777777499999,0.4869281046
businesswoman,-0.489261,-0.95775133,agent,agent,0.46849033,0.7570036540803897,0.9305555555,0.3300653595
butcher,-0.57672936,-0.85382485,agent,agent,0.27709549,0.7276066412378339,0.9027777777499999,0.3692810458
cake,-1.401144,-0.28605705,patient,patient,-1.11508695,0.230019370690888,0.16666666675000003,0.7058823529
cameraman,-0.107425444,-2.2956312,agent,agent,2.188205756,0.705324074074074,0.875,0.6176470588
camper,-1.4350245,-0.26907283,agent,patient,-1.1659516699999999,0.7956975142651014,0.8194444445,1.153594771
canvas,-0.26809356,-1.4726617,patient,agent,1.20456814,0.3871303934847232,0.125,0.3823529412
captain,-0.43589717,-1.0787405,agent,agent,0.64284333,0.7774360758884372,0.9027777777499999,0.3692810458
car,-1.2377614,-0.37438473,patient,patient,-0.8633766699999998,0.3570064841756182,0.52777777775,1.163398693
cardboard,-0.6606565,-0.73396736,patient,agent,0.07331085999999998,0.3166576037701649,0.13888888900000002,0.7320261438
carpet,-0.9246922,-0.51966983,patient,patient,-0.40502236999999996,0.5206320574119812,0.13888888900000002,0.3790849673
carver,-0.3533189,-1.2332942,agent,agent,0.8799753,0.8386251851851851,0.888888889,0.3790849673
caterer,-0.23412202,-1.6513091,agent,agent,1.41718708,0.5684324715241367,0.875,0.5
cd,-0.36098638,-1.1495969,patient,agent,0.78861052,0.6047404328075499,0.25,0.8235294118
cellist,-0.419136,-1.0577294,agent,agent,0.6385934,0.6043249561659848,0.9166666667500001,0.3529411765
cello,-0.7344238,-0.6692795,patient,patient,-0.06514429999999993,0.2123671183964943,0.26388888899999996,1.349673203
chauffeur,-0.075569585,-2.7076046,agent,agent,2.6320350149999996,0.7000186396947015,0.8194444445,0.9183006536
chef,-0.2960452,-1.3198341,agent,agent,1.0237889,0.6582873608978369,0.9027777777499999,0.3692810458
choreography,-0.21225515,-1.6662873,patient,agent,1.45403215,0.661941251596424,0.3194444445,0.9183006536
clarinet,-0.5468018,-0.80080265,patient,agent,0.25400084999999994,0.3516357728380474,0.26388888899999996,1.349673203
clarinetist,-0.259461,-1.4796127,agent,agent,1.2201517,0.7790178571428571,0.875,0.9705882353
clay,-0.27047163,-1.440681,patient,agent,1.17020937,0.72759543969391,0.09722222224999999,0.7222222222
cleaner,-0.37181097,-1.1532428,agent,agent,0.7814318299999998,0.3573058275501473,0.7916666667500001,0.6176470588
clerk,-1.1650156,-0.387048,agent,patient,-0.7779676,0.7568317979152734,0.8194444445,0.5653594771
cloth,-0.38920075,-1.1306045,patient,agent,0.74140375,0.2985090774863912,0.15277777775,0.9575163399
coat,-1.4871463,-0.2585142,patient,patient,-1.2286321,0.2074233122822833,0.18055555550000002,0.6830065359
code,-1.1352979,-0.38948736,patient,patient,-0.7458105400000001,0.4440540805082204,0.47222222225,1.751633987
comedian,-0.37111664,-1.192344,agent,agent,0.8212273600000001,0.7264500011783838,0.9166666667500001,0.2352941176
concerto,-0.31149963,-1.3743658,patient,agent,1.06286617,0.3575925594705777,0.33333333325000003,1.294117647
confectioner,-0.3925845,-1.1295707,agent,agent,0.7369861999999999,0.788134135855546,0.888888889,0.3790849673
container,-0.43335953,-1.0893235,patient,agent,0.65596397,0.4130819652046067,0.3055555555,0.8888888889
convertible,-0.29347673,-1.3854986,patient,agent,1.09202187,0.333927888903045,0.40277777775,1.075163399
cook,-0.32272932,-1.2911791,agent,agent,0.9684497799999999,0.771662128955022,0.8472222222500001,0.9575163399
cotton,-0.7267606,-0.6521269,patient,patient,-0.07463370000000003,0.5096950117448502,0.11111111099999998,0.7320261438
countertop,-0.6815403,-0.79782754,patient,agent,0.11628724000000001,0.4369747899159664,0.06944444449999998,0.3300653595
crate,-0.32478487,-1.3183615,patient,agent,0.99357663,0.3601158910417259,0.13888888900000002,0.614379085
cushion,-0.59383404,-0.74542314,patient,agent,0.15158910000000003,0.2348091623636633,0.125,0.3823529412
cut,-0.3152294,-1.2680624,patient,agent,0.952833,0.37019957940763,0.25,0.8235294118
dancer,-0.81520945,-0.592058,agent,patient,-0.22315145000000003,0.7019863911947872,0.875,0.2647058824
dealer,-0.65701884,-0.81106025,agent,agent,0.15404141000000005,0.7802627606935202,0.8472222222500001,0.6045751634
dish,-0.6267795,-0.7749023,patient,agent,0.1481228,0.3054778558808377,0.16666666675000003,0.7058823529
doctor,-0.23615356,-1.5721292,agent,agent,1.33597564,0.727197186722784,0.9166666667500001,0.3529411765
dough,-0.2598258,-1.4270117,patient,agent,1.1671859,0.2847394090753257,0.22222222225,1.045751634
dressmaker,-0.43349752,-1.0476923,agent,agent,0.61419478,0.7181686791925032,0.888888889,0.614379085
driver,-0.3280842,-1.3860264,agent,agent,1.0579422,0.7163646518408429,0.875,0.2647058824
drug,-0.18924671,-1.7655807,patient,agent,1.57633399,0.6016625445473285,0.41666666674999997,1.411764706
drummer,-0.46648297,-1.063743,agent,agent,0.5972600300000002,0.6652377441314151,0.888888889,0.3790849673
duffle,-1.2159008,-0.3546865,patient,patient,-0.8612143,0.5681492109038737,0.125,0.3823529412
essay,-0.7965294,-0.5924041,patient,patient,-0.20412530000000007,0.4579251467157587,0.29166666674999997,0.9705882353
essayist,-0.22117545,-1.6453432,agent,agent,1.4241677499999998,0.83241330502477,0.9166666667500001,0.3529411765
fabric,-0.4709384,-1.0333554,patient,agent,0.5624170000000001,0.4367859577448622,0.08333333324999997,0.4705882353
fillet,-1.0790755,-0.4176985,patient,patient,-0.6613770000000001,0.4050479800016128,0.06944444449999998,0.4477124183
fish,-1.2951629,-0.32249328,patient,patient,-0.97266962,0.466691092091373,0.5694444445,0.8006535948
floor,-1.247545,-0.32663646,patient,patient,-0.9209085399999999,0.3981600225925663,0.09722222224999999,0.3692810458
flute,-0.40771565,-1.0900662,patient,agent,0.6823505500000001,0.2487283060154625,0.29166666674999997,0.9705882353
flutist,-0.23629288,-1.6105021,agent,agent,1.37420922,0.5428265524625268,0.9027777777499999,0.3692810458
food,-0.8122908,-0.5890768,patient,patient,-0.22321400000000002,0.279496251612914,0.26388888899999996,0.8790849673
gem,-0.6579968,-0.7325379,patient,agent,0.07454109999999992,0.5298536940509476,0.11111111099999998,0.3790849673
glass,-0.59479827,-0.8202833,patient,agent,0.2254850300000001,0.2116331277533039,0.27777777775,0.9281045752
hairdresser,-0.16426948,-1.9288981,agent,agent,1.76462862,0.7012600969305331,0.8472222222500001,1.075163399
handle,-0.14868374,-2.0089245,patient,agent,1.86024076,0.1769893706564569,0.125,0.3823529412
hat,-1.4747938,-0.26547173,patient,patient,-1.20932207,0.1611221420146439,0.13888888900000002,0.614379085
herb,-0.558541,-0.8709724,patient,agent,0.3124314,0.4867927073263943,0.29166666674999997,1.088235294
hiker,-1.211578,-0.38542858,agent,patient,-0.82614942,0.7838630806845965,0.9027777777499999,0.3692810458
housekeeper,-0.33584926,-1.1906419,agent,agent,0.8547926399999999,0.650714095426448,0.8472222222500001,0.4869281046
ice,-0.58330446,-0.8225337,patient,agent,0.23922924,0.6086624118660292,0.25,1.176470588
illustrator,-0.20421457,-1.6988033,agent,agent,1.49458873,0.62625,0.9444444445,0.1830065359
ingredient,-0.21642873,-1.6745617,patient,agent,1.4581329699999999,0.7034270613461989,0.29166666674999997,0.9705882353
instrument,-0.17884153,-1.84885,patient,agent,1.6700084700000002,0.5326638456423025,0.3055555555,0.6535947712
item,-1.1944855,-0.37066752,patient,patient,-0.8238179800000001,0.5915449746229394,0.19444444449999998,0.7712418301
jacket,-1.2171191,-0.35504985,patient,patient,-0.8620692499999999,0.135252417636453,0.16666666675000003,0.4705882353
janitor,-0.69101983,-0.69975746,agent,agent,0.008737630000000052,0.7745593454851711,0.888888889,0.4967320261
jet,-0.5634176,-0.77110946,patient,agent,0.20769186000000006,0.5624798191798515,0.58333333325,0.8235294118
jeweler,-0.3705127,-1.2320864,agent,agent,0.8615737000000001,0.7374281609195402,0.875,0.5
jewelry,-1.001642,-0.44879162,patient,patient,-0.55285038,0.2255342095517772,0.09722222224999999,0.3692810458
journalist,-0.22543423,-1.5646309,agent,agent,1.33919667,0.8138479170633187,0.9027777777499999,0.3692810458
kite,-0.6615146,-0.72913015,patient,agent,0.06761555000000008,0.4014406144197778,0.38888888899999996,0.8496732026
knob,-0.75590557,-0.6698099,patient,patient,-0.08609567000000007,0.2054009004520378,0.15277777775,0.7222222222
lady,-1.9549302,-0.15475926,agent,patient,-1.8001709399999999,0.7152875856411037,0.72222222225,0.5751633987
lake,-0.9460826,-0.47694728,patient,patient,-0.46913532,0.613765862101466,0.19444444449999998,0.8888888889
landscape,-0.9295386,-0.5072192,patient,patient,-0.4223194,0.5124950705027649,0.125,0.9705882353
letter,-0.8432407,-0.56873226,patient,patient,-0.27450843999999996,0.2604193705903665,0.27777777775,1.281045752
line,-1.2402543,-0.36695555,patient,patient,-0.8732987499999999,0.4926438812469622,0.20833333324999997,0.9705882353
lotion,-0.5117074,-0.9549311,patient,agent,0.4432237,0.3798640193967344,0.13888888900000002,0.8496732026
lunchbox,-1.0455483,-0.42214662,patient,patient,-0.6234016800000002,0.2488408037094281,0.13888888900000002,0.3790849673
machine,-0.37941286,-1.2792242,agent,agent,0.8998113400000001,0.5131729950809574,0.625,0.9705882353
magazine,-0.50846404,-0.92709076,patient,agent,0.41862672,0.6617302627865612,0.20833333324999997,0.7352941176
maid,-0.54157835,-0.9592403,agent,agent,0.41766195000000006,0.6277443715239496,0.888888889,0.3790849673
make,-0.8317233,-0.5802969,patient,patient,-0.25142640000000005,0.527764830397101,0.15277777775,0.839869281
man,-1.6682956,-0.21071883,agent,patient,-1.45757677,0.7554710730485904,0.736111111,0.6437908497
marble,-0.49799225,-0.93574756,patient,agent,0.43775531,0.5925970766927886,0.11111111099999998,0.7320261438
mason,-0.3489183,-1.2263229,agent,agent,0.8774046,0.8182577761451758,0.763888889,1.820261438
material,-0.23600864,-1.5791063,patient,agent,1.3430976600000002,0.4244436794726096,0.18055555550000002,0.6830065359
meat,-0.6587598,-0.7332112,patient,agent,0.07445139999999995,0.2937742399320657,0.15277777775,0.6045751634
mirror,-0.95516187,-0.47416326,patient,patient,-0.48099861,0.4172552118154743,0.22222222225,0.5751633987
model,-1.2480503,-0.3411526,patient,patient,-0.9068977,0.5225791591861056,0.8055555555,0.5359477124
motorcycle,-0.79703885,-0.60673916,patient,patient,-0.1902996899999999,0.1839998305515547,0.513888889,1.114379085
motorist,-0.3457048,-1.2417768,agent,agent,0.896072,0.7813624299616633,0.875,0.7352941176
mountain,-1.1560315,-0.37419096,patient,patient,-0.7818405400000001,0.5334323833930582,0.16666666675000003,0.5882352941
mover,-0.7386755,-0.64725155,agent,patient,-0.09142395000000003,0.7995169979565299,0.8333333332499999,0.5882352941
mushroom,-0.80166095,-0.5925625,patient,patient,-0.20909845000000005,0.6628412518115232,0.34722222225,0.7222222222
musician,-0.7390071,-0.65101355,agent,patient,-0.08799354999999998,0.7683468135486773,0.8472222222500001,1.075163399
narrator,-0.21946132,-1.81251,agent,agent,1.59304868,0.9301596095106904,0.875,0.3823529412
notetaker,-0.34173086,-1.2029148,agent,agent,0.8611839400000001,0.6521739130434783,0.888888889,0.3790849673
novel,-0.68033797,-0.69183785,patient,agent,0.011499880000000018,0.5552851720679894,0.33333333325000003,1.294117647
novelist,-0.29463965,-1.4790598,agent,agent,1.18442015,0.8581502958270066,0.9305555555,0.3300653595
orator,-0.17978346,-1.9961493,agent,agent,1.81636584,0.7630716592682172,0.9027777777499999,0.3692810458
packaging,-0.36499384,-1.194971,patient,agent,0.82997716,0.7009678901262534,0.23611111099999998,1.114379085
painter,-0.38454625,-1.1479721,agent,agent,0.7634258500000001,0.7821009251135986,0.888888889,0.4967320261
panel,-0.38764244,-1.2924601,patient,agent,0.90481766,0.6211102862989788,0.08333333324999997,0.3529411765
paper,-0.32000792,-1.3946816,patient,agent,1.07467368,0.4392133193897121,0.19444444449999998,0.6535947712
passage,-0.5104626,-0.9512015,patient,agent,0.44073890000000004,0.4899807559701843,0.26388888899999996,0.8790849673
pastry,-1.6340349,-0.2130953,patient,patient,-1.4209396,0.2701681953599662,0.18055555550000002,0.8006535948
patissier,-0.21794441,-1.6340835,agent,agent,1.41613909,1.0,0.8333333332499999,1.058823529
