id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells easily.,-0.334228515625,-1.271484375,patient,agent,0.937255859375,patient
1,sells,book,easily,This book sells easily.,-0.317138671875,-1.3173828125,patient,agent,1.000244140625,agent
2,sells,novel,easily,This novel sells easily.,-0.241943359375,-1.5546875,patient,agent,1.312744140625,agent
3,sells,magazine,easily,This magazine sells easily.,-0.370849609375,-1.18359375,patient,agent,0.812744140625,patient
4,sells,hat,easily,This hat sells easily.,-0.33447265625,-1.2724609375,patient,agent,0.93798828125,patient
5,sells,lotion,easily,This lotion sells easily.,-0.361572265625,-1.205078125,patient,agent,0.843505859375,patient
6,sells,album,easily,This album sells easily.,-0.52734375,-0.90234375,patient,agent,0.375,patient
7,sells,car,easily,This car sells easily.,-0.343505859375,-1.25,patient,agent,0.906494140625,patient
8,sells,suv,easily,This SUV sells easily.,-0.352783203125,-1.2275390625,patient,agent,0.874755859375,patient
9,sells,product,easily,This product sells easily.,-0.293701171875,-1.3876953125,patient,agent,1.093994140625,agent
10,sells,make,easily,This make sells easily.,-0.2432861328125,-1.5556640625,patient,agent,1.3123779296875,agent
11,sells,item,easily,This item sells easily.,-0.263671875,-1.482421875,patient,agent,1.21875,agent
12,sells,cd,easily,This CD sells easily.,-0.44482421875,-1.0380859375,patient,agent,0.59326171875,patient
13,sells,drug,easily,This drug sells easily.,-0.352783203125,-1.2275390625,patient,agent,0.874755859375,patient
14,sells,snack,easily,This snack sells easily.,-0.380859375,-1.162109375,patient,agent,0.78125,patient
15,sells,salesman,easily,This salesman sells easily.,-0.1988525390625,-1.73046875,agent,agent,1.5316162109375,agent
16,sells,saleswoman,easily,This saleswoman sells easily.,-0.158447265625,-1.939453125,agent,agent,1.781005859375,agent
17,sells,businessman,easily,This businessman sells easily.,-0.262939453125,-1.4814453125,agent,agent,1.218505859375,agent
18,sells,businesswoman,easily,This businesswoman sells easily.,-0.1942138671875,-1.7568359375,agent,agent,1.5626220703125,agent
19,sells,trader,easily,This trader sells easily.,-0.241455078125,-1.5537109375,agent,agent,1.312255859375,agent
20,sells,peddler,easily,This peddler sells easily.,-0.325439453125,-1.2939453125,agent,agent,0.968505859375,patient
21,sells,telemarketer,easily,This telemarketer sells easily.,-0.29248046875,-1.38671875,agent,agent,1.09423828125,agent
22,sells,dealer,easily,This dealer sells easily.,-0.2415771484375,-1.5537109375,agent,agent,1.3121337890625,agent
23,sells,shopkeeper,easily,This shopkeeper sells easily.,-0.256103515625,-1.505859375,agent,agent,1.249755859375,agent
24,sells,toy,well,This toy sells well.,-0.32568359375,-1.294921875,patient,agent,0.96923828125,agent
25,sells,book,well,This book sells well.,-0.325927734375,-1.294921875,patient,agent,0.968994140625,agent
26,sells,novel,well,This novel sells well.,-0.235595703125,-1.5791015625,patient,agent,1.343505859375,agent
27,sells,magazine,well,This magazine sells well.,-0.380859375,-1.162109375,patient,agent,0.78125,patient
28,sells,hat,well,This hat sells well.,-0.325927734375,-1.294921875,patient,agent,0.968994140625,agent
29,sells,lotion,well,This lotion sells well.,-0.36181640625,-1.205078125,patient,agent,0.84326171875,patient
30,sells,album,well,This album sells well.,-0.5146484375,-0.9208984375,patient,agent,0.40625,patient
31,sells,car,well,This car sells well.,-0.3349609375,-1.2724609375,patient,agent,0.9375,patient
32,sells,suv,well,This SUV sells well.,-0.35302734375,-1.228515625,patient,agent,0.87548828125,patient
33,sells,product,well,This product sells well.,-0.2939453125,-1.3876953125,patient,agent,1.09375,agent
34,sells,make,well,This make sells well.,-0.2371826171875,-1.5810546875,patient,agent,1.3438720703125,agent
35,sells,item,well,This item sells well.,-0.271240234375,-1.458984375,patient,agent,1.187744140625,agent
36,sells,cd,well,This CD sells well.,-0.45654296875,-1.0185546875,patient,agent,0.56201171875,patient
37,sells,drug,well,This drug sells well.,-0.352783203125,-1.2275390625,patient,agent,0.874755859375,patient
38,sells,snack,well,This snack sells well.,-0.371337890625,-1.18359375,patient,agent,0.812255859375,patient
39,sells,salesman,well,This salesman sells well.,-0.1990966796875,-1.73046875,agent,agent,1.5313720703125,agent
40,sells,saleswoman,well,This saleswoman sells well.,-0.1632080078125,-1.9130859375,agent,agent,1.7498779296875,agent
41,sells,businessman,well,This businessman sells well.,-0.256103515625,-1.505859375,agent,agent,1.249755859375,agent
42,sells,businesswoman,well,This businesswoman sells well.,-0.1944580078125,-1.7568359375,agent,agent,1.5623779296875,agent
43,sells,trader,well,This trader sells well.,-0.235107421875,-1.5791015625,agent,agent,1.343994140625,agent
44,sells,peddler,well,This peddler sells well.,-0.30908203125,-1.33984375,agent,agent,1.03076171875,agent
45,sells,telemarketer,well,This telemarketer sells well.,-0.28515625,-1.41015625,agent,agent,1.125,agent
46,sells,dealer,well,This dealer sells well.,-0.2418212890625,-1.5546875,agent,agent,1.3128662109375,agent
47,sells,shopkeeper,well,This shopkeeper sells well.,-0.25634765625,-1.5068359375,agent,agent,1.25048828125,agent
48,sells,toy,quickly,This toy sells quickly.,-0.34326171875,-1.25,patient,agent,0.90673828125,patient
