verb,overall_acc,avg_LL_delta
bakes,0.0,0.7217116582961309
carves,0.0,0.7539494832356771
cleans,0.0,0.8108226634837963
cooks,0.022222222222222223,0.4083224826388889
cuts,0.0,0.5514892578125
drives,0.0,0.5963066948784722
embroiders,0.0,0.7488490513392857
flies,0.0,0.8880462646484375
knits,0.0,0.5776994977678571
packs,0.0,0.59215087890625
paints,0.0,0.6738637288411459
performs,0.0,0.8534874549278846
photographs,0.0,0.7622273763020834
plays,0.0,0.9256028395432693
reads,0.0,0.910888671875
sculpts,0.0,0.8375162760416667
sells,0.0,0.6488783094618056
sews,0.0,0.55147705078125
shaves,0.0,0.46658528645833336
stitches,0.10416666666666667,0.3983713785807292
turns,0.0,0.7521639737215909
washes,0.0,0.6466346153846154
writes,0.0,0.6756448184742647
