verb,overall_acc,avg_LL_delta
bakes,0.9761904761904762,0.4121675037202381
carves,0.9166666666666666,0.3977813720703125
cleans,0.9629629629629629,0.5063838252314815
cooks,0.8666666666666667,0.17152777777777778
cuts,0.975,0.2601318359375
drives,0.9722222222222222,0.328125
embroiders,0.9642857142857143,0.32589285714285715
flies,1.0,0.52606201171875
knits,1.0,0.3500279017857143
packs,0.975,0.330462646484375
paints,0.9791666666666666,0.3431142171223958
performs,1.0,0.49278846153846156
photographs,0.7777777777777778,0.3715277777777778
plays,1.0,0.40994027944711536
reads,1.0,0.7131491268382353
sculpts,1.0,0.437451171875
sells,0.8611111111111112,0.3289930555555556
sews,0.95,0.22965087890625
shaves,0.9333333333333333,0.2
stitches,0.75,0.2526041666666667
turns,0.9545454545454546,0.3245516690340909
washes,1.0,0.42545259915865385
writes,0.9705882352941176,0.4659423828125
