verb,overall_acc,avg_LL_delta
bakes,1.0,-0.8660510835193452
carves,1.0,-0.9303538004557291
cleans,1.0,-0.8397646303530093
cooks,1.0,-1.0069661458333334
cuts,1.0,-0.9788787841796875
drives,1.0,-0.7455919053819444
embroiders,1.0,-0.8169904436383929
flies,0.875,-0.513031005859375
knits,1.0,-1.1339111328125
packs,1.0,-0.9327911376953125
paints,1.0,-0.9349288940429688
performs,0.9230769230769231,-0.5071739783653846
photographs,1.0,-0.9375474717881944
plays,1.0,-0.5455979567307693
reads,1.0,-0.7510124655330882
sculpts,1.0,-0.9270589192708333
sells,1.0,-0.7574089898003472
sews,1.0,-0.8343505859375
shaves,1.0,-1.2042643229166667
stitches,1.0,-0.9524688720703125
turns,0.8863636363636364,-0.5063753995028409
washes,1.0,-0.9542752779447116
writes,1.0,-0.7399471507352942
