verb,num_agents,num_patients,agent_acc,patient_acc,overall_acc,agent_avg_LL_delta,patient_avg_LL_delta
bakes,18,24,0.0,1.0,0.5714285714285714,-2.872732038222222,-3.697151045916667
carves,20,28,0.0,1.0,0.5833333333333334,-1.876874618,-3.6279081039464285
cleans,21,33,0.14285714285714285,1.0,0.6666666666666666,-1.1867001204761907,-2.1903678493333336
cooks,12,33,0.0,1.0,0.7333333333333333,-2.4162092283333334,-3.7299662820606065
cuts,16,24,0.0,1.0,0.6,-1.7833598468749998,-2.818825147333334
drives,9,27,0.0,1.0,0.75,-1.718883248888889,-2.3594705185555562
embroiders,12,16,0.0,1.0,0.5714285714285714,-1.8892728158333334,-3.0289886220625006
flies,12,12,0.0,1.0,0.5,-1.7637292058333334,-2.9782700595
knits,20,15,0.0,1.0,0.42857142857142855,-2.4830254423000007,-3.519865680333332
packs,16,24,0.0,1.0,0.6,-1.5410803293750002,-3.12931425425
paints,20,28,0.0,1.0,0.5833333333333334,-2.044130646,-2.9086621890714284
performs,7,6,0.0,1.0,0.46153846153846156,-1.50056457,-3.026858229166667
photographs,4,14,0.0,1.0,0.7777777777777778,-1.4165748224999999,-3.0233738640714285
plays,14,12,0.0,1.0,0.46153846153846156,-3.597636989428572,-4.875427132583334
reads,14,20,0.0,1.0,0.5882352941176471,-1.2457799414285717,-2.8365190246500003
sculpts,15,15,0.0,1.0,0.5,-2.3279404747333334,-3.1978274153333337
sells,27,45,0.5185185185185185,1.0,0.8194444444444444,0.29157251,-2.441834736888889
sews,12,8,0.0,1.0,0.4,-1.9729279716666668,-2.58910476375
shaves,6,9,0.0,1.0,0.6,-1.3913520300000002,-3.0501245880000005
stitches,20,28,0.0,1.0,0.5833333333333334,-2.4095624264500004,-3.0645412760714286
turns,16,28,0.0,1.0,0.6363636363636364,-1.683112635875,-2.9106488996785704
washes,8,18,0.0,1.0,0.6923076923076923,-0.94959546,-2.2216646857777773
writes,24,10,0.08333333333333333,1.0,0.35294117647058826,-1.0932830391666668,-2.4579159664
