verb,overall_acc,avg_LL_delta
bakes,1.0,-1.308935558571429
carves,1.0,-0.9565160564583334
cleans,1.0,-1.1645123603703702
cooks,1.0,-0.8821710417777778
cuts,1.0,-0.9535440065000003
drives,1.0,-1.0152985208333332
embroiders,1.0,-1.224436740357143
flies,1.0,-0.6500840454166668
knits,1.0,-1.313047369142857
packs,1.0,-1.1084479917499999
paints,1.0,-1.0951841224999999
performs,1.0,-0.8021990107692307
photographs,1.0,-0.7282211777777776
plays,1.0,-0.5151008276923077
reads,1.0,-0.8313406629411764
sculpts,1.0,-0.9800911190000001
sells,1.0,-0.8308233681944444
sews,1.0,-1.1713409235
shaves,1.0,-1.0617354066666667
stitches,1.0,-1.3769031258333333
turns,1.0,-0.690934088636364
washes,1.0,-1.2416381565384613
writes,1.0,-0.8532005623529411
