id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta
0,sells,toy,easily,This toy sells something easily.,-0.024828894,-4.660762,agent,agent,4.635933106
1,sells,book,easily,This book sells something easily.,-0.028260618,-4.963458,agent,agent,4.935197382
2,sells,novel,easily,This novel sells something easily.,-0.013598182,-6.598993,agent,agent,6.585394818
3,sells,magazine,easily,This magazine sells something easily.,-0.029487688,-4.4340105,agent,agent,4.404522812000001
4,sells,hat,easily,This hat sells something easily.,-0.022179035,-5.2273707,agent,agent,5.205191665
5,sells,lotion,easily,This lotion sells something easily.,-0.046150725,-3.6905217,agent,agent,3.644370975
6,sells,album,easily,This album sells something easily.,-0.022441665,-4.9975224,agent,agent,4.975080735000001
7,sells,car,easily,This car sells something easily.,-0.025342349,-5.2140713,agent,agent,5.188728951
8,sells,suv,easily,This SUV sells something easily.,-0.023270108,-5.1532636,agent,agent,5.129993492
9,sells,product,easily,This product sells something easily.,-0.023332275,-5.8388953,agent,agent,5.815563025
10,sells,make,easily,This make sells something easily.,-0.018870646,-5.7529373,agent,agent,5.734066654
11,sells,item,easily,This item sells something easily.,-0.018307926,-6.101545,agent,agent,6.0832370739999995
12,sells,cd,easily,This CD sells something easily.,-0.028515348,-4.9267178,agent,agent,4.898202452
13,sells,drug,easily,This drug sells something easily.,-0.03144067,-4.560795,agent,agent,4.529354329999999
14,sells,snack,easily,This snack sells something easily.,-0.056975007,-3.5592654,agent,agent,3.502290393
15,sells,salesman,easily,This salesman sells something easily.,-0.02094379,-5.8876534,agent,agent,5.86670961
16,sells,saleswoman,easily,This saleswoman sells something easily.,-0.030645331,-4.878147,agent,agent,4.847501669000001
17,sells,businessman,easily,This businessman sells something easily.,-0.033593647,-5.346343,agent,agent,5.312749353
18,sells,businesswoman,easily,This businesswoman sells something easily.,-0.047098823,-4.1144214,agent,agent,4.0673225770000005
19,sells,trader,easily,This trader sells something easily.,-0.02658965,-5.2597685,agent,agent,5.23317885
20,sells,peddler,easily,This peddler sells something easily.,-0.023407625,-4.809427,agent,agent,4.786019375
21,sells,telemarketer,easily,This telemarketer sells something easily.,-0.035120487,-4.6181107,agent,agent,4.5829902129999995
22,sells,dealer,easily,This dealer sells something easily.,-0.032582767,-5.2536635,agent,agent,5.221080733
23,sells,shopkeeper,easily,This shopkeeper sells something easily.,-0.044341438,-3.9495547,agent,agent,3.905213262
24,sells,toy,well,This toy sells something well.,-0.043713573,-3.603813,agent,agent,3.5600994270000004
25,sells,book,well,This book sells something well.,-0.041311223,-3.9284787,agent,agent,3.8871674769999998
26,sells,novel,well,This novel sells something well.,-0.016252358,-5.5269094,agent,agent,5.510657042
27,sells,magazine,well,This magazine sells something well.,-0.0504048,-3.443266,agent,agent,3.3928612
28,sells,hat,well,This hat sells something well.,-0.041722722,-3.6850185,agent,agent,3.643295778
29,sells,lotion,well,This lotion sells something well.,-0.09902265,-2.586461,agent,agent,2.4874383499999997
30,sells,album,well,This album sells something well.,-0.031550284,-4.1634417,agent,agent,4.131891416
31,sells,car,well,This car sells something well.,-0.03524514,-4.246621,agent,agent,4.21137586
32,sells,suv,well,This SUV sells something well.,-0.04158129,-3.8885489,agent,agent,3.84696761
33,sells,product,well,This product sells something well.,-0.028186558,-4.9533935,agent,agent,4.925206942
34,sells,make,well,This make sells something well.,-0.028445682,-4.454604,agent,agent,4.426158318
35,sells,item,well,This item sells something well.,-0.021456964,-5.14765,agent,agent,5.126193035999999
36,sells,cd,well,This CD sells something well.,-0.035930905,-4.1794376,agent,agent,4.143506695
37,sells,drug,well,This drug sells something well.,-0.04100912,-3.8491528,agent,agent,3.80814368
38,sells,snack,well,This snack sells something well.,-0.108484276,-2.5778294,agent,agent,2.469345124
39,sells,salesman,well,This salesman sells something well.,-0.026431309,-4.8185043,agent,agent,4.7920729909999995
40,sells,saleswoman,well,This saleswoman sells something well.,-0.044762034,-3.8629496,agent,agent,3.8181875659999998
41,sells,businessman,well,This businessman sells something well.,-0.041924648,-4.5315266,agent,agent,4.489601952
42,sells,businesswoman,well,This businesswoman sells something well.,-0.059007406,-3.6205947,agent,agent,3.5615872939999997
43,sells,trader,well,This trader sells something well.,-0.04029957,-4.132674,agent,agent,4.09237443
44,sells,peddler,well,This peddler sells something well.,-0.08410951,-2.7362597,agent,agent,2.6521501900000004
45,sells,telemarketer,well,This telemarketer sells something well.,-0.043979436,-3.9446437,agent,agent,3.900664264
46,sells,dealer,well,This dealer sells something well.,-0.046175193,-4.1640825,agent,agent,4.117907307
47,sells,shopkeeper,well,This shopkeeper sells something well.,-0.10858547,-2.573722,agent,agent,2.46513653
48,sells,toy,quickly,This toy sells something quickly.,-0.05904325,-3.2465956,agent,agent,3.18755235
49,sells,book,quickly,This book sells something quickly.,-0.04763828,-3.8022037,agent,agent,3.75456542
50,sells,novel,quickly,This novel sells something quickly.,-0.020598069,-5.159532,agent,agent,5.1389339309999995
51,sells,magazine,quickly,This magazine sells something quickly.,-0.088086605,-2.78144,agent,agent,2.693353395
52,sells,hat,quickly,This hat sells something quickly.,-0.049204558,-3.610533,agent,agent,3.561328442
53,sells,lotion,quickly,This lotion sells something quickly.,-0.13302182,-2.2887623,agent,agent,2.15574048
54,sells,album,quickly,This album sells something quickly.,-0.05673028,-3.3542948,agent,agent,3.29756452
55,sells,car,quickly,This car sells something quickly.,-0.054107472,-3.5545058,agent,agent,3.5003983279999997
56,sells,suv,quickly,This SUV sells something quickly.,-0.051487427,-3.6168833,agent,agent,3.565395873
57,sells,product,quickly,This product sells something quickly.,-0.03882313,-4.5023375,agent,agent,4.46351437
58,sells,make,quickly,This make sells something quickly.,-0.032396633,-4.3432975,agent,agent,4.310900867
59,sells,item,quickly,This item sells something quickly.,-0.030153353,-4.5508475,agent,agent,4.5206941469999995
60,sells,cd,quickly,This CD sells something quickly.,-0.0558614,-3.530752,agent,agent,3.4748906
61,sells,drug,quickly,This drug sells something quickly.,-0.06022902,-3.3564744,agent,agent,3.2962453800000002
