id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells something easily.,-0.2077054530382156,-1.926741600036621,agent,agent,1.7190361469984055,agent
1,sells,book,easily,This book sells something easily.,-0.0714342817664146,-3.11739468574524,agent,agent,3.0459604039788255,agent
2,sells,novel,easily,This novel sells something easily.,-0.0726843699812889,-3.145735740661621,agent,agent,3.073051370680332,agent
3,sells,magazine,easily,This magazine sells something easily.,-0.1639454662799835,-2.2884981632232666,agent,agent,2.124552696943283,agent
4,sells,hat,easily,This hat sells something easily.,-0.1435635834932327,-2.2305328845977783,agent,agent,2.0869693011045456,agent
5,sells,lotion,easily,This lotion sells something easily.,-0.0931935161352157,-2.8808627128601074,agent,agent,2.7876691967248917,agent
6,sells,album,easily,This album sells something easily.,-0.1690689921379089,-2.1593568325042725,agent,agent,1.9902878403663635,agent
7,sells,car,easily,This car sells something easily.,-0.1209258511662483,-2.6892871856689453,agent,agent,2.568361334502697,agent
8,sells,suv,easily,This SUV sells something easily.,-0.1792629808187484,-2.139836072921753,agent,agent,1.9605730921030045,agent
9,sells,product,easily,This product sells something easily.,-0.1440995931625366,-2.382993221282959,agent,agent,2.2388936281204224,agent
10,sells,make,easily,This make sells something easily.,-0.3010082542896271,-1.893065452575684,agent,agent,1.592057198286057,agent
11,sells,item,easily,This item sells something easily.,-0.1180772557854652,-2.73990249633789,agent,agent,2.621825240552425,agent
12,sells,cd,easily,This CD sells something easily.,-0.1689942926168441,-2.2646944522857666,agent,agent,2.0957001596689224,agent
13,sells,drug,easily,This drug sells something easily.,-0.1351361870765686,-2.675732135772705,agent,agent,2.5405959486961365,agent
14,sells,snack,easily,This snack sells something easily.,-0.1457691937685012,-2.4584646224975586,agent,agent,2.3126954287290573,agent
15,sells,salesman,easily,This salesman sells something easily.,-0.2222362905740738,-1.8536497354507449,agent,agent,1.631413444876671,agent
16,sells,saleswoman,easily,This saleswoman sells something easily.,-0.3354473412036896,-1.456399917602539,agent,agent,1.1209525763988495,agent
17,sells,businessman,easily,This businessman sells something easily.,-0.221988171339035,-2.1679720878601074,agent,agent,1.9459839165210724,agent
18,sells,businesswoman,easily,This businesswoman sells something easily.,-0.4120885729789734,-1.39788556098938,agent,agent,0.9857969880104067,agent
19,sells,trader,easily,This trader sells something easily.,-0.2163883298635482,-1.9585100412368768,agent,agent,1.7421217113733285,agent
20,sells,peddler,easily,This peddler sells something easily.,-0.299230009317398,-1.6872447729110718,agent,agent,1.3880147635936737,agent
