verb,overall_acc,avg_LL_delta
bakes,0.0,-0.48065766834077384
carves,0.020833333333333332,-0.7402140299479166
cleans,0.07407407407407407,-0.4956597222222222
cooks,0.022222222222222223,-0.48025716145833336
cuts,0.0,-0.79530029296875
drives,0.027777777777777776,-0.3424343532986111
embroiders,0.0,-0.7422049386160714
flies,0.4166666666666667,-0.10550944010416667
knits,0.0,-1.2227329799107143
packs,0.1,-0.45660400390625
paints,0.0,-0.9258015950520834
performs,0.46153846153846156,-0.14424954927884615
photographs,0.0,-1.2777370876736112
plays,0.0,-0.47415865384615385
reads,0.0,-1.2996646656709558
sculpts,0.0,-0.88184814453125
sells,0.125,-0.4893815782335069
sews,0.0,-1.283575439453125
shaves,0.0,-0.8938151041666667
stitches,0.020833333333333332,-1.1637013753255208
turns,0.22727272727272727,-0.21979314630681818
washes,0.038461538461538464,-0.63885498046875
writes,0.029411764705882353,-0.8924165613511029
