verb,overall_acc,avg_LL_delta
bakes,0.5476190476190477,-0.14842587425595238
carves,0.9166666666666666,-0.5452728271484375
cleans,0.9074074074074074,-0.41203703703703703
cooks,0.7777777777777778,-0.2187228732638889
cuts,0.975,-0.59644775390625
drives,1.0,-0.5247056749131944
embroiders,1.0,-0.5920846121651786
flies,0.75,-0.140625
knits,1.0,-0.8772600446428571
packs,0.8,-0.273046875
paints,1.0,-0.8749821980794271
performs,0.46153846153846156,-0.1117412860576923
photographs,1.0,-1.0460340711805556
plays,0.9615384615384616,-0.4471905048076923
reads,1.0,-1.202248965992647
sculpts,1.0,-0.6620361328125
sells,0.8472222222222222,-0.3650580512152778
sews,1.0,-1.001513671875
shaves,1.0,-0.727099609375
stitches,0.9791666666666666,-0.9600982666015625
turns,0.8409090909090909,-0.2816106622869318
washes,0.8076923076923077,-0.36778846153846156
writes,0.9411764705882353,-0.6658827837775735
