id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta
0,sells,toy,easily,This toy sells something easily.,-0.0006200332,-12.304414,agent,agent,12.303793966799999
1,sells,book,easily,This book sells something easily.,-0.000572498,-9.441965,agent,agent,9.441392502
2,sells,novel,easily,This novel sells something easily.,-0.080487505,-2.5697951,agent,agent,2.489307595
3,sells,magazine,easily,This magazine sells something easily.,-0.0005118471,-13.789867,agent,agent,13.789355152899999
4,sells,hat,easily,This hat sells something easily.,-0.001713684,-7.017149,agent,agent,7.015435316
5,sells,lotion,easily,This lotion sells something easily.,-0.00051888794,-10.592591,agent,agent,10.59207211206
6,sells,album,easily,This album sells something easily.,-0.0016418003,-6.632155,agent,agent,6.6305131997
7,sells,car,easily,This car sells something easily.,-0.00042424936,-14.246415,agent,agent,14.24599075064
8,sells,suv,easily,This SUV sells something easily.,-0.00044213727,-16.218168,agent,agent,16.21772586273
9,sells,product,easily,This product sells something easily.,-0.00035335214,-13.235559,agent,agent,13.23520564786
10,sells,make,easily,This make sells something easily.,-0.0009340372,-8.787783,agent,agent,8.786848962799999
11,sells,item,easily,This item sells something easily.,-0.00051983976,-13.841838,agent,agent,13.841318160239998
12,sells,cd,easily,This CD sells something easily.,-0.00053671666,-12.149049,agent,agent,12.14851228334
13,sells,drug,easily,This drug sells something easily.,-0.00052592315,-12.953213,agent,agent,12.95268707685
14,sells,snack,easily,This snack sells something easily.,-0.0014615756,-7.334151,agent,agent,7.332689424400001
15,sells,salesman,easily,This salesman sells something easily.,-0.0004049883,-16.014547,agent,agent,16.0141420117
16,sells,saleswoman,easily,This saleswoman sells something easily.,-0.00053242326,-14.863637,agent,agent,14.863104576740001
17,sells,businessman,easily,This businessman sells something easily.,-0.00050481,-16.753448,agent,agent,16.75294319
18,sells,businesswoman,easily,This businesswoman sells something easily.,-0.00057607895,-15.061901,agent,agent,15.061324921050002
19,sells,trader,easily,This trader sells something easily.,-0.00050481,-17.277857,agent,agent,17.277352190000002
20,sells,peddler,easily,This peddler sells something easily.,-0.000680869,-15.744488,agent,agent,15.743807131
21,sells,telemarketer,easily,This telemarketer sells something easily.,-0.00061323267,-15.122119,agent,agent,15.12150576733
22,sells,dealer,easily,This dealer sells something easily.,-0.00043498003,-17.098082,agent,agent,17.09764701997
23,sells,shopkeeper,easily,This shopkeeper sells something easily.,-0.00062468514,-16.621029,agent,agent,16.62040431486
