verb,overall_acc,avg_LL_delta
bakes,1.0,-3.724457513523809
carves,1.0,-2.2112091616250003
cleans,1.0,-1.8950901715185182
cooks,1.0,-2.450092490555556
cuts,1.0,-1.3532703954999998
drives,1.0,-1.281920357611111
embroiders,1.0,-3.2378718705571425
flies,0.7083333333333334,-0.4767714587500001
knits,1.0,-4.055941277657143
packs,1.0,-1.5310541618750002
paints,1.0,-2.281104812729167
performs,0.9230769230769231,-1.12481689
photographs,0.9444444444444444,-1.2281929466666668
plays,1.0,-1.2723270515384617
reads,0.8235294117647058,-0.8405558408529411
sculpts,1.0,-2.3242781220333333
sells,0.9166666666666666,-1.0659387990277778
sews,1.0,-2.9489048546
shaves,1.0,-2.1006835303333338
stitches,1.0,-3.126955197104167
turns,0.8409090909090909,-1.1227733625454546
washes,1.0,-2.2252390072692303
writes,0.9411764705882353,-1.2396977539411767
