verb,overall_acc,avg_LL_delta
bakes,0.0,-3.3143781414047617
carves,0.0,-1.8576175997708335
cleans,0.0,-1.4783559865740739
cooks,0.0,-2.2128077032444438
cuts,0.075,-1.0994412802250002
drives,0.0,-1.4319765201666668
embroiders,0.0,-2.837610375214286
flies,0.08333333333333333,-0.7145295024999999
knits,0.0,-3.1910539055742855
packs,0.0,-1.4443188462
paints,0.0,-1.8204247367916668
performs,0.0,-1.534151698
photographs,0.1111111111111111,-0.7277563744444444
plays,0.0,-1.3986113673076923
reads,0.20588235294117646,-1.2168970912058825
sculpts,0.0,-1.8338425801
sells,0.1111111111111111,-0.8409078565277779
sews,0.0,-2.4686790505500005
shaves,0.0,-1.4548849626666667
stitches,0.0,-2.801009741829167
turns,0.09090909090909091,-0.9540141820454547
washes,0.0,-1.7795317920769231
writes,0.058823529411764705,-1.9569005929411762
