noun,semantic role,gpt3-davinci_acc,gpt3-davinci_avg_LL_delta,gpt3-babbage_acc,gpt3-babbage_avg_LL_delta,text-davinci-001_acc,text-davinci-001_avg_LL_delta,bloom-1b1_acc,bloom-1b1_avg_LL_delta,bloom-3b_acc,bloom-3b_avg_LL_delta,gpt2-x_acc,gpt2-x_avg_LL_delta,bloom-560m_acc,bloom-560m_avg_LL_delta,gpt3-ada_acc,gpt3-ada_avg_LL_delta,gpt3-curie_acc,gpt3-curie_avg_LL_delta,text-davinci-003_acc,text-davinci-003_avg_LL_delta,gpt2-medium_acc,gpt2-medium_avg_LL_delta,gpt2-xl_acc,gpt2-xl_avg_LL_delta,bloom-1b7_acc,bloom-1b7_avg_LL_delta,text-ada-001_acc,text-ada-001_avg_LL_delta,gpt2-large_acc,gpt2-large_avg_LL_delta,text-curie-001_acc,text-curie-001_avg_LL_delta,text-babbage-001_acc,text-babbage-001_avg_LL_delta,bloom-7b1_acc,bloom-7b1_avg_LL_delta
abstract,patient,1.0,-1.008239395,1.0,-1.23288251,1.0,-1.122982355,0.0,0.203125,0.0,1.42950439453125,0.0,0.4316940307617187,1.0,-0.8748779296875,1.0,-2.8870317620000003,1.0,-0.57030202,1.0,-14.39760562438,1.0,-0.6735877990722656,0.0,0.363344669342041,0.0,1.7342529296875,1.0,-1.157821755,0.0,0.5668778866529465,0.0,0.47849655,0.0,5.0966964665,0.0,0.15625
actor,agent,1.0,1.52887334,0.0,-0.1281224,1.0,10.8905878538,1.0,0.859130859375,1.0,2.093017578125,1.0,3.585941404104233,0.0,-0.25,0.0,-1.3707543,0.0,-0.31236082,1.0,15.5061446335,1.0,0.4112472534179687,1.0,1.1707611083984375,1.0,1.9683837890625,1.0,3.465574227,1.0,2.8369749933481216,0.0,-0.0080093399999999,1.0,4.934505465,1.0,0.765625
aircraft,patient,0.0,1.1883904566666663,1.0,-1.3550046366666668,0.0,7.379274732500001,0.0,1.4689127604166667,0.0,2.6039225260416665,0.0,0.6277847886085509,1.0,-1.16650390625,1.0,-2.8371555553333336,1.0,-0.6649849333333333,0.0,6.0007061675,1.0,-0.4048512776692708,0.0,0.4717098971207936,0.0,0.8230794270833334,0.3333333333333333,1.435380298,0.0,0.8931776583194733,0.0,0.4171241499999999,0.0,4.3117082736666665,0.0,0.5469563802083334
album,patient,0.6666666666666666,-0.2524978466666666,1.0,-0.9363317633333332,0.0,4.7161242695666665,0.0,0.2447916666666666,0.0,2.6817830403645835,0.0,1.4470113515853882,1.0,-1.08349609375,1.0,-3.4924982356666665,1.0,-0.51872638,1.0,-8.766085181653335,0.3333333333333333,0.0115712483723958,0.0,0.4778153200944265,0.0,0.3854166666666667,1.0,-2.275617246666666,0.0,2.068824758132299,0.6666666666666666,-0.0952529333333332,0.0,3.329417573666667,0.0,0.7552897135416666
animal,patient,1.0,-0.41874045,1.0,-1.195557525,0.0,3.5208604340000003,0.0,0.703369140625,0.0,2.499786376953125,1.0,-0.0364894866943358,1.0,-1.49981689453125,1.0,-3.532572505,0.5,-0.0040902,1.0,-12.12204374438,1.0,-0.2244033515453338,0.0,0.6607422977685927,0.0,1.26544189453125,1.0,-3.7715975885,0.0,0.7623028606176375,0.0,0.631153095,0.0,1.324008,0.0,0.2421875
announcer,agent,1.0,1.065038,0.0,-0.10377404,1.0,10.87197447855,0.0,-0.21875,1.0,2.0697021484375,1.0,3.255165070295334,0.0,-0.5,0.0,-0.65326313,0.0,-0.16248795,1.0,15.1916054433,1.0,1.0466308444738388,1.0,0.8941645622253418,1.0,1.4217529296875,1.0,4.1667201045,1.0,1.3643898367881775,1.0,0.2814218449999999,1.0,2.032043435,1.0,0.6251220703125
artisan,agent,1.0,2.1015761775,0.25,0.01526544,1.0,10.883026030625,0.0,-0.296875,1.0,2.6326446533203125,1.0,3.4385947873815894,0.0,-0.6248779296875,0.0,-1.2309697000000002,0.0,-0.6387024425,1.0,15.713285985485,0.0,-0.2069397121667862,1.0,0.5707132518291473,1.0,1.671966552734375,1.0,4.3851831895,1.0,2.564926113933325,0.0,-0.959920125,1.0,2.6494780635,1.0,0.948974609375
artist,agent,1.0,1.6498549065,0.0,-0.3450918024999999,1.0,9.7868733135,0.75,0.05859375,1.0,2.0784912109375,1.0,2.283090591430664,0.0,-1.375030517578125,0.0,-1.15147675,0.0,-0.3114629049999999,1.0,17.137887068025,1.0,0.3925094604492187,1.0,0.7574317678809166,1.0,1.5313720703125,1.0,4.605942092125,1.0,2.316404409706593,0.5,-0.41867729,0.75,1.6610891075,1.0,0.691162109375
author,agent,1.0,2.19321033,0.0,-0.2126579349999999,1.0,10.66387407285,1.0,0.5860595703125,1.0,2.00726318359375,1.0,1.4644432067871094,0.0,-0.624755859375,0.0,-0.9579734249999998,1.0,0.1190872499999999,1.0,16.460097771705,1.0,1.35626982152462,1.0,1.6564865112304688,1.0,2.0318603515625,1.0,5.263358406749999,1.0,3.5423927549272776,1.0,0.8106478899999999,1.0,3.5599282315,1.0,1.03125
aviator,agent,1.0,2.0721311366666666,0.0,-0.2018374866666666,1.0,9.7569827611,1.0,0.9215494791666666,1.0,2.7501424153645835,1.0,2.3179118807117143,0.0,-1.2501220703125,0.0,-1.9851544333333333,0.0,-0.3270670633333333,1.0,15.933420508886664,0.0,-0.3833465576171875,1.0,0.5855430463949839,1.0,1.3229166666666667,0.3333333333333333,-0.4604098233333333,1.0,2.0307645549376807,0.6666666666666666,0.05822789,1.0,4.947572431,1.0,0.7134602864583334
