model,corr_noun_LL,corr_human,corr_subj
bloom-560m,0.31598338296678335,-0.24896240698498212,-0.2342883194523899
bloom-1b1,0.3775961757791965,-0.43739134421793646,-0.32908042615120414
bloom-1b7,-0.036823313919608046,-0.5492467579028462,-0.3872718279236552
bloom-3b,0.055819817454363235,-0.25763440791292685,-0.31744310875364296
bloom-7b1,0.218550081111476,0.2518595640904554,0.20699042621693445
gpt2-small,0.5652992079923443,0.19262978219118163,0.2220117887951329
gpt2-medium,0.4455687877514112,0.0013678599921527518,0.13151426008962638
gpt2-large,0.008108601824463324,-0.3065955415100344,-0.28164151160872947
gpt2-xl,0.5113877324649848,0.20621551564067478,0.2725673050183775
gpt3-ada,0.30982372585904594,-0.2156384072623864,-0.15328094476273513
gpt3-babbage,0.5262860975984578,0.5315413877171841,0.36327277746681236
gpt3-curie,0.46215557621729014,-0.20557317608232004,-0.13645609111310616
gpt3-davinci,0.5830666637217431,0.6372338408195332,0.5056681710164701
text-ada-001,0.23111211109275837,-0.05674076478094472,-0.10931894424796855
text-babbage-001,0.04093311259705048,-0.05445958975007253,-0.13500169289337613
text-curie-001,0.2553434213947574,-0.09340867259096529,0.037071680289532734
text-davinci-001,0.4612984176068955,0.3235333757429904,0.30278250519622646
text-davinci-003,0.6586696362520024,0.6733950682527488,0.4553355835183692
