id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta
0,sells,toy,easily,Something sells this toy easily.,-0.05136117,-3.4597347,patient,agent,3.40837353
1,sells,book,easily,Something sells this book easily.,-0.039414447,-4.1995826,patient,agent,4.160168153
2,sells,novel,easily,Something sells this novel easily.,-0.020103944,-5.4144616,patient,agent,5.394357656
3,sells,magazine,easily,Something sells this magazine easily.,-0.048148476,-3.6428108,patient,agent,3.5946623239999997
4,sells,hat,easily,Something sells this hat easily.,-0.038950413,-4.0081263,patient,agent,3.969175887
5,sells,lotion,easily,Something sells this lotion easily.,-0.12235589,-2.3865368,patient,agent,2.26418091
6,sells,album,easily,Something sells this album easily.,-0.031657696,-4.49828,patient,agent,4.466622304
7,sells,car,easily,Something sells this car easily.,-0.0321592,-4.810915,patient,agent,4.7787558
8,sells,suv,easily,Something sells this SUV easily.,-0.036110964,-4.5167246,patient,agent,4.480613636
9,sells,product,easily,Something sells this product easily.,-0.029403286,-5.0833993,patient,agent,5.053996014
10,sells,make,easily,Something sells this make easily.,-0.023108328,-5.1810784,patient,agent,5.1579700719999995
11,sells,item,easily,Something sells this item easily.,-0.018449442,-5.984743,patient,agent,5.966293558
12,sells,cd,easily,Something sells this CD easily.,-0.039725676,-4.232475,patient,agent,4.192749324
13,sells,drug,easily,Something sells this drug easily.,-0.053046722,-3.5398583,patient,agent,3.486811578
14,sells,snack,easily,Something sells this snack easily.,-0.09299787,-2.8239253,patient,agent,2.73092743
15,sells,salesman,easily,Something sells this salesman easily.,-0.032463126,-4.5940137,patient,agent,4.561550574
16,sells,saleswoman,easily,Something sells this saleswoman easily.,-0.064524576,-3.4307935,patient,agent,3.366268924
17,sells,businessman,easily,Something sells this businessman easily.,-0.060835157,-3.9764452,patient,agent,3.915610043
18,sells,businesswoman,easily,Something sells this businesswoman easily.,-0.07532175,-3.218358,patient,agent,3.1430362499999998
19,sells,trader,easily,Something sells this trader easily.,-0.041457776,-4.186724,patient,agent,4.145266224
20,sells,peddler,easily,Something sells this peddler easily.,-0.054009195,-3.4622216,patient,agent,3.408212405
21,sells,telemarketer,easily,Something sells this telemarketer easily.,-0.051236942,-3.7938194,patient,agent,3.742582458
22,sells,dealer,easily,Something sells this dealer easily.,-0.0389066,-4.727285,patient,agent,4.6883784
23,sells,shopkeeper,easily,Something sells this shopkeeper easily.,-0.10847777,-2.6484566,patient,agent,2.53997883
24,sells,toy,well,Something sells this toy well.,-0.081922755,-2.7959404,patient,agent,2.714017645
25,sells,book,well,Something sells this book well.,-0.054343697,-3.535679,patient,agent,3.481335303
26,sells,novel,well,Something sells this novel well.,-0.022604495,-4.9685636,patient,agent,4.945959105
27,sells,magazine,well,Something sells this magazine well.,-0.075830996,-2.936928,patient,agent,2.861097004
28,sells,hat,well,Something sells this hat well.,-0.079121046,-2.884946,patient,agent,2.8058249539999998
29,sells,lotion,well,Something sells this lotion well.,-0.15253219,-2.1094348,patient,agent,1.9569026099999998
30,sells,album,well,Something sells this album well.,-0.04075057,-3.906787,patient,agent,3.86603643
31,sells,car,well,Something sells this car well.,-0.04485392,-3.8898005,patient,agent,3.8449465800000002
32,sells,suv,well,Something sells this SUV well.,-0.061519828,-3.4067242,patient,agent,3.3452043720000004
33,sells,product,well,Something sells this product well.,-0.034797847,-4.429847,patient,agent,4.3950491529999995
34,sells,make,well,Something sells this make well.,-0.058594234,-3.3251748,patient,agent,3.266580566
35,sells,item,well,Something sells this item well.,-0.023527103,-4.7992706,patient,agent,4.775743497
