id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta
0,sells,toy,easily,This toy sells something easily.,-7.616176,-0.021002952,agent,patient,-7.595173048
1,sells,book,easily,This book sells something easily.,-3.4108858,-0.11816206,agent,patient,-3.29272374
2,sells,novel,easily,This novel sells something easily.,-5.1281524,-0.04607863,agent,patient,-5.08207377
3,sells,magazine,easily,This magazine sells something easily.,-3.6217887,-0.44755578,agent,patient,-3.17423292
4,sells,hat,easily,This hat sells something easily.,-8.977453,-0.010769897,agent,patient,-8.966683103000001
5,sells,lotion,easily,This lotion sells something easily.,-5.9000955,-0.03015741,agent,patient,-5.86993809
6,sells,album,easily,This album sells something easily.,-4.9457207,-0.05729004,agent,patient,-4.88843066
7,sells,car,easily,This car sells something easily.,-2.4527786,-0.32392097,agent,patient,-2.1288576299999997
8,sells,suv,easily,This SUV sells something easily.,-1.5374684,-0.5937106,agent,patient,-0.9437578000000001
9,sells,product,easily,This product sells something easily.,-4.259276,-0.46447465,agent,patient,-3.7948013499999997
10,sells,make,easily,This make sells something easily.,-4.9527,-0.4710249,agent,patient,-4.4816751
11,sells,item,easily,This item sells something easily.,-1.6139798,-0.32404926,agent,patient,-1.28993054
12,sells,cd,easily,This CD sells something easily.,-7.8719645,-0.2572128,agent,patient,-7.614751699999999
13,sells,drug,easily,This drug sells something easily.,-2.4466763,-0.7639267,agent,patient,-1.6827496000000002
14,sells,snack,easily,This snack sells something easily.,-9.012474,-0.0147204,agent,patient,-8.9977536
15,sells,salesman,easily,This salesman sells something easily.,-0.43478557,-6.235763,agent,agent,5.8009774300000005
16,sells,saleswoman,easily,This saleswoman sells something easily.,-2.754482,-0.72261494,agent,patient,-2.0318670599999997
17,sells,businessman,easily,This businessman sells something easily.,-1.2476763,-3.691175,agent,agent,2.4434987
18,sells,businesswoman,easily,This businesswoman sells something easily.,-4.0687456,-0.5481941,agent,patient,-3.5205515
19,sells,trader,easily,This trader sells something easily.,-0.07364091,-3.1975346,agent,agent,3.12389369
20,sells,peddler,easily,This peddler sells something easily.,-2.2100205,-0.25952572,agent,patient,-1.95049478
21,sells,telemarketer,easily,This telemarketer sells something easily.,-0.35151404,-2.2932265,agent,agent,1.9417124599999998
22,sells,dealer,easily,This dealer sells something easily.,-0.56460655,-3.528074,agent,agent,2.96346745
23,sells,shopkeeper,easily,This shopkeeper sells something easily.,-2.9332497,-1.8634908,agent,patient,-1.0697589000000003
24,sells,toy,well,This toy sells something well.,-7.9853506,-0.011148882,agent,patient,-7.974201718000001
25,sells,book,well,This book sells something well.,-3.1805227,-0.09041613,agent,patient,-3.09010657
26,sells,novel,well,This novel sells something well.,-4.853378,-0.04750789,agent,patient,-4.80587011
27,sells,magazine,well,This magazine sells something well.,-3.5618503,-0.21119569,agent,patient,-3.3506546100000003
28,sells,hat,well,This hat sells something well.,-9.818638,-0.0058765328,agent,patient,-9.8127614672
29,sells,lotion,well,This lotion sells something well.,-6.461544,-0.025734227,agent,patient,-6.435809773
30,sells,album,well,This album sells something well.,-6.094322,-0.02540061,agent,patient,-6.06892139
31,sells,car,well,This car sells something well.,-3.8949556,-0.13972948,agent,patient,-3.7552261199999997
32,sells,suv,well,This SUV sells something well.,-2.3797832,-0.24141923,agent,patient,-2.13836397
33,sells,product,well,This product sells something well.,-4.528488,-0.20535015,agent,patient,-4.32313785
34,sells,make,well,This make sells something well.,-5.733724,-0.37866017,agent,patient,-5.35506383
35,sells,item,well,This item sells something well.,-3.76829,-0.06169194,agent,patient,-3.70659806
36,sells,cd,well,This CD sells something well.,-8.909917,-0.06642205,agent,patient,-8.84349495
37,sells,drug,well,This drug sells something well.,-3.1650357,-0.3209786,agent,patient,-2.8440570999999997
38,sells,snack,well,This snack sells something well.,-9.6579,-0.0071026026,agent,patient,-9.6507973974
39,sells,salesman,well,This salesman sells something well.,-0.23936644,-6.0747166,agent,agent,5.83535016
40,sells,saleswoman,well,This saleswoman sells something well.,-3.03104,-0.43502223,agent,patient,-2.59601777
41,sells,businessman,well,This businessman sells something well.,-1.2618041,-3.5742695,agent,agent,2.3124654000000002
42,sells,businesswoman,well,This businesswoman sells something well.,-4.4293957,-0.35406286,agent,patient,-4.07533284
43,sells,trader,well,This trader sells something well.,-0.12816624,-2.46315,agent,agent,2.33498376
44,sells,peddler,well,This peddler sells something well.,-2.9898145,-0.09633936,agent,patient,-2.89347514
45,sells,telemarketer,well,This telemarketer sells something well.,-0.489433,-1.3940847,agent,agent,0.9046517000000001
46,sells,dealer,well,This dealer sells something well.,-0.52097535,-2.9671633,agent,agent,2.44618795
47,sells,shopkeeper,well,This shopkeeper sells something well.,-3.2302773,-1.3285477,agent,patient,-1.9017296
48,sells,toy,quickly,This toy sells something quickly.,-6.4092474,-0.03115858,agent,patient,-6.37808882
49,sells,book,quickly,This book sells something quickly.,-3.0976934,-0.1771406,agent,patient,-2.9205528
50,sells,novel,quickly,This novel sells something quickly.,-4.8286033,-0.070929356,agent,patient,-4.757673944
