id,verb,noun,adverb,sentence,LL_agent,LL_patient,semantic role,predicted,LL_delta,thresh_pred
0,sells,toy,easily,This toy sells something easily.,-1.6301465,-0.2815032,agent,patient,-1.3486433,agent
1,sells,book,easily,This book sells something easily.,-1.2087185,-0.47930178,agent,patient,-0.72941672,agent
2,sells,novel,easily,This novel sells something easily.,-1.3860472,-0.36118296,agent,patient,-1.0248642399999999,agent
3,sells,magazine,easily,This magazine sells something easily.,-1.3869729,-0.37109554,agent,patient,-1.01587736,agent
4,sells,hat,easily,This hat sells something easily.,-1.488741,-0.32953262,agent,patient,-1.1592083800000001,agent
5,sells,lotion,easily,This lotion sells something easily.,-0.97286355,-0.52569807,agent,patient,-0.44716548,agent
6,sells,album,easily,This album sells something easily.,-1.3988838,-0.3951778,agent,patient,-1.0037059999999998,agent
7,sells,car,easily,This car sells something easily.,-0.9410517,-0.59980416,agent,patient,-0.34124754,agent
8,sells,suv,easily,This SUV sells something easily.,-0.96417075,-0.6287596,agent,patient,-0.33541115,agent
9,sells,product,easily,This product sells something easily.,-1.2076596,-0.48362327,agent,patient,-0.7240363299999999,agent
10,sells,make,easily,This make sells something easily.,-0.40515727,-1.2515583,agent,agent,0.8464010299999999,agent
11,sells,item,easily,This item sells something easily.,-1.3022635,-0.39714128,agent,patient,-0.90512222,agent
12,sells,cd,easily,This CD sells something easily.,-1.5151813,-0.34289867,agent,patient,-1.17228263,agent
13,sells,drug,easily,This drug sells something easily.,-0.8372798,-0.6334781,agent,patient,-0.20380169999999997,agent
14,sells,snack,easily,This snack sells something easily.,-1.3571134,-0.38231143,agent,patient,-0.97480197,agent
15,sells,salesman,easily,This salesman sells something easily.,-0.79135466,-0.70614976,agent,patient,-0.08520490000000003,agent
16,sells,saleswoman,easily,This saleswoman sells something easily.,-0.5932396,-0.9132278,agent,agent,0.31998820000000006,agent
17,sells,businessman,easily,This businessman sells something easily.,-0.8671104,-0.65410393,agent,patient,-0.21300646999999995,agent
18,sells,businesswoman,easily,This businesswoman sells something easily.,-0.38134417,-1.284283,agent,agent,0.9029388300000001,agent
19,sells,trader,easily,This trader sells something easily.,-0.7845012,-0.7246449,agent,patient,-0.05985629999999997,agent
20,sells,peddler,easily,This peddler sells something easily.,-0.8003713,-0.6793155,agent,patient,-0.12105580000000005,agent
21,sells,telemarketer,easily,This telemarketer sells something easily.,-1.1554079,-0.452176,agent,patient,-0.7032318999999999,agent
22,sells,dealer,easily,This dealer sells something easily.,-0.88474005,-0.62738955,agent,patient,-0.25735050000000004,agent
23,sells,shopkeeper,easily,This shopkeeper sells something easily.,-0.7316111,-0.76013744,agent,agent,0.028526340000000094,agent
24,sells,toy,well,This toy sells something well.,-1.2690227,-0.39636394,agent,patient,-0.87265876,agent
25,sells,book,well,This book sells something well.,-0.9453249,-0.61798966,agent,patient,-0.32733524,agent
26,sells,novel,well,This novel sells something well.,-0.97887146,-0.56859326,agent,patient,-0.41027820000000004,agent
27,sells,magazine,well,This magazine sells something well.,-1.1176438,-0.48366395,agent,patient,-0.63397985,agent
28,sells,hat,well,This hat sells something well.,-1.3062974,-0.42925617,agent,patient,-0.8770412300000001,agent
29,sells,lotion,well,This lotion sells something well.,-1.004639,-0.5761201,agent,patient,-0.42851890000000004,agent
30,sells,album,well,This album sells something well.,-1.0780466,-0.58381784,agent,patient,-0.49422875999999993,agent
31,sells,car,well,This car sells something well.,-0.80966735,-0.7155479,agent,patient,-0.09411945,agent
32,sells,suv,well,This SUV sells something well.,-0.7588364,-0.7805471,agent,agent,0.021710700000000083,agent
33,sells,product,well,This product sells something well.,-0.96535945,-0.58262837,agent,patient,-0.38273108,agent
34,sells,make,well,This make sells something well.,-0.36152992,-1.5231744,agent,agent,1.16164448,agent
35,sells,item,well,This item sells something well.,-1.2544056,-0.39597312,agent,patient,-0.8584324799999998,agent
36,sells,cd,well,This CD sells something well.,-1.0904032,-0.45584494,agent,patient,-0.6345582599999999,agent
37,sells,drug,well,This drug sells something well.,-0.7454304,-0.77917343,agent,agent,0.033743029999999896,agent
38,sells,snack,well,This snack sells something well.,-1.1694281,-0.42887703,agent,patient,-0.74055107,agent
39,sells,salesman,well,This salesman sells something well.,-0.34957093,-1.3687711,agent,agent,1.01920017,agent
40,sells,saleswoman,well,This saleswoman sells something well.,-0.45868677,-1.0417914,agent,agent,0.5831046299999999,agent
41,sells,businessman,well,This businessman sells something well.,-0.43279204,-1.1703602,agent,agent,0.7375681599999999,agent
42,sells,businesswoman,well,This businesswoman sells something well.,-0.34277186,-1.4557749,agent,agent,1.11300304,agent
43,sells,trader,well,This trader sells something well.,-0.3839292,-1.3547103,agent,agent,0.9707811,agent
44,sells,peddler,well,This peddler sells something well.,-0.52423775,-1.0636184,agent,agent,0.53938065,agent
45,sells,telemarketer,well,This telemarketer sells something well.,-0.7810701,-0.6774992,agent,patient,-0.10357090000000002,agent
46,sells,dealer,well,This dealer sells something well.,-0.40098563,-1.1565108,agent,agent,0.75552517,agent
47,sells,shopkeeper,well,This shopkeeper sells something well.,-0.47128642,-1.0785215,agent,agent,0.6072350799999999,agent
48,sells,toy,quickly,This toy sells something quickly.,-1.3082122,-0.39659783,agent,patient,-0.9116143700000001,agent
