verb,overall_acc,avg_LL_delta
bakes,0.0,-0.4397670200892857
carves,0.1875,-0.18100484212239584
cleans,0.0,-0.3877631293402778
cooks,0.0,-0.4773708767361111
cuts,0.0,-0.380120849609375
drives,0.0,-0.4249131944444444
embroiders,0.0,-0.30637032645089285
flies,0.0,-0.33331298828125
knits,0.0,-0.484375
packs,0.0,-0.3609619140625
paints,0.0,-0.3486226399739583
performs,0.0,-0.34012545072115385
photographs,0.0,-0.5208468967013888
plays,0.0,-0.34615384615384615
reads,0.0,-0.49722110523897056
sculpts,0.0,-0.25
sells,0.0,-0.3916897243923611
sews,0.0,-0.41092529296875
shaves,0.0,-0.38331705729166665
stitches,0.0,-0.509063720703125
turns,0.0,-0.34440474076704547
washes,0.0,-0.3851975661057692
writes,0.14705882352941177,-0.18933823529411764
