verb,overall_acc,avg_LL_delta
bakes,0.0,-3.5546892656428577
carves,0.0,-3.3063100633541667
cleans,0.018518518518518517,-1.6239745791666662
cooks,0.0,-2.3343038294444445
cuts,0.0,-2.5481485200000003
drives,0.25,-0.7514018947222223
embroiders,0.0,-3.0162112047857135
flies,0.125,-1.4830313222083333
knits,0.0,-3.74037628832857
packs,0.0,-2.4362498099250005
paints,0.0,-2.8500629975625014
performs,0.23076923076923078,-0.839079425076923
photographs,0.0,-3.1027213539444443
plays,0.0,-2.850312591461538
reads,0.058823529411764705,-2.059662979647059
sculpts,0.0,-3.5636818380333324
sells,0.1388888888888889,-1.5593830847083328
sews,0.1,-2.8617761911999997
shaves,0.0,-3.904537883666667
stitches,0.0,-3.2250481683270835
turns,0.06818181818181818,-1.6077705259090906
washes,0.038461538461538464,-1.5332864444615386
writes,0.058823529411764705,-2.7119335244852936
