noun,semantic role,gpt3-davinci,gpt3-babbage,text-davinci-001,bloom-1b1,bloom-3b,gpt2-x,bloom-560m,gpt3-ada,gpt3-curie,text-davinci-003,gpt2-medium,gpt2-xl,bloom-1b7,text-ada-001,gpt2-large,text-curie-001,text-babbage-001,bloom-7b1
abstract,patient,0.1716566599999999,-1.02377796,1.87163155,0.1328125,0.21875,0.21087646484375,-1.0,-1.214262,-0.7362766,-8.477039290999999,0.4679832458496087,-0.3665428757667541,-1.34375,-7.168734542,-0.9103766083717346,-1.74492024,-7.194316730000001,-0.46875
actor,agent,-0.0745287,-0.7414705400000001,1.63571656,0.921875,-0.171875,1.386154174804688,0.0,-1.04481696,-0.937992,10.60781701487,0.8979837894439697,-0.5183324217796326,-1.12451171875,-4.1763725,-0.1118792891502381,-2.8325108,-4.7166647,-0.09375
aircraft,patient,0.1242023000000001,-0.8931228400000001,0.2708073,1.25,-0.40625,0.4138946533203127,-0.5,-0.9558182,-0.5539360500000001,-1.40911265,-0.302990972995758,-1.204154074192047,-1.56298828125,-4.9473912,-1.5388412177562707,-3.84155265,-5.57726684,-0.67138671875
album,patient,-0.3261310599999999,-0.7983932399999999,-0.2000619799999999,-0.883056640625,-0.296875,-0.3001957535743713,-2.5,-1.45791428,-0.607605,-13.975220043,-0.4178313612937927,-1.1522245407104492,-2.1240234375,-11.3322381797,-1.877063736319542,-2.70219984,-7.802608969999999,0.140625
animal,patient,-0.0828527399999999,-1.5676195000000002,-1.1538878,-0.14111328125,-0.296875,-0.3461112976074219,-1.74951171875,-0.9209338,-0.17107392,0.95963072,0.2161011695861816,-0.7071256637573242,-1.87548828125,-4.771855,-0.9676980972290036,-3.31159339,-6.5581581,-0.671875
announcer,agent,0.4164039499999999,-0.337879,2.73738524,0.52294921875,0.046875,1.7633628845214844,0.0,-0.418235,-0.9160347,11.7592321305,0.7509386539459229,-1.189635306596756,-2.2813720703125,-0.1737780000000004,-0.0847644805908203,-1.2968424,-5.2728035,0.046875
artisan,agent,1.01654576,0.51194,0.99304487,0.1640625,-0.43701171875,0.8096685409545896,-0.50048828125,-0.7460060000000001,-1.16483324,9.18221218063,0.3483469486236572,-1.0372590720653532,-1.250244140625,-1.3873513000000002,-0.5642166137695312,-2.3552819,-3.5698815,0.140625
artist,agent,0.4769139499999999,0.2339188999999999,0.4511083999999999,0.32861328125,-0.18798828125,0.7550201416015625,-0.50048828125,-1.3223695000000002,-0.99403382,11.4167364075,-0.1885222792625428,-0.9386444091796876,-1.5316162109375,-4.9652068,-1.0623426139354706,-3.49627128,-5.5761375,0.265625
author,agent,0.5585206,-0.0637100999999999,0.7152959000000001,1.28173828125,0.4375,0.7540054321289062,0.49951171875,-0.4724513,-0.1707687,10.5855556389,1.0845966935157776,-0.4656592011451721,-1.249755859375,-2.1833448,0.6236124038696289,0.4996626000000002,-3.7250585,0.46923828125
aviator,agent,0.55528766,0.06946574,0.04585686,1.218994140625,0.34326171875,0.989723265171051,-0.75,-0.57622636,-0.81608382,10.3947300782,0.1903266906738281,-0.9565467834472656,-1.281005859375,-2.83207975,-0.4677324295043945,-3.83071913,-5.195510925,-0.171875
backpack,patient,-0.7448057000000001,-0.8457745999999999,-0.33466916,0.03125,-0.8125,-0.0303840637207031,-2.49951171875,-1.251192,-0.4446735,-9.25225057354,-0.3082764148712158,-0.8353119492530823,-1.59375,-6.5955823872,-1.7713632881641388,-2.9662402300000004,-4.2696731,0.125
backpacker,agent,-0.38884405,-0.6432434999999999,-0.89621598,0.1875,-0.03125,0.5289764404296877,-1.75,-1.1902722199999998,-0.97878454,5.560019366,-0.0295057296752927,-0.578852653503418,-1.281005859375,-6.5677393,-1.0991993248462677,-3.3519122,-4.0933677,-0.15625
bag,patient,-0.56939064,-1.4825677,-0.2033252999999999,0.140625,-0.59375,-0.3471373915672302,-1.00048828125,-1.76412955,-0.29718605,-11.39690021625,-0.6459813117980957,-0.8964976668357849,-1.53125,-9.188422696,-2.1096934527158737,-1.51723324,-7.1132873000000005,-0.09375
baker,agent,0.3258683,-1.2063044,0.8741498399999998,0.21875,-0.21875,0.2016429901123047,-0.5,-1.4070520599999998,-1.127243,12.06649788223,0.0818262696266174,-1.601522475481033,-1.46875,-9.13886062,-1.0868139266967771,-3.100255,-7.585131,0.0625
barber,agent,-0.19590306,-1.6437092,0.2245705499999999,-0.71875,-0.89111328125,0.2905712127685547,-1.250244140625,-1.2488412,-1.6457653200000002,8.920832997,0.1199044585227966,-1.138368546962738,-1.6248779296875,-8.8208183895,-1.4028740525245669,-4.61524152,-9.45740854,-0.21875
basket,patient,-0.84288793,-1.1701087,-0.17475315,-0.359375,-0.75,-0.1957664489746091,-2.0,-2.5121784000000003,-0.99201587,-12.7876058038,-0.1617345809936523,-1.5593814849853518,-2.0931396484375,-11.54702799767,-1.3906269371509552,-3.693557583,-6.806417260000001,-0.171875
beard,patient,-0.26114035,-1.7159383,-1.16972698,-0.1875,-0.68798828125,-0.4378662109375,-1.249755859375,-1.35094068,-1.14391525,-10.764211587799998,0.262704849243164,-0.772740364074707,-1.8126220703125,-10.8358229253,-1.3221158385276794,-3.544132345,-6.90607913,0.109375
bedding,patient,-0.78811878,-1.88060534,0.149111,-0.71826171875,-1.140625,0.598716735839844,-1.75,-1.4802949499999998,-0.658642,-14.79258569896,-0.3101549148559568,-1.467328131198883,-1.9696044921875,-9.86747894,-1.8548860251903527,-2.256489,-6.8077797,-0.60888671875
bike,patient,-0.4972594,-0.6241608,-0.84720063,-0.1875,-1.28173828125,-0.3601551055908202,-1.0,-1.80261808,-0.11313633,-4.093680204,-0.310357987880707,-1.2425651550292969,-1.9691162109375,-8.127011400999999,-1.6347675919532778,-2.69217664,-7.458281553,-0.171875
blanket,patient,-0.5848744000000001,-2.6554528,-0.43680545,-0.3125,-1.24951171875,0.4335747361183167,-2.4990234375,-1.23202797,-1.43231396,-15.2781917618,-0.0489392280578613,-1.0746097564697266,-2.1240234375,-9.27431112,-1.9442568272352216,-3.967086069,-8.0071103,-0.046875
blogger,agent,0.1490861,-0.7381802,1.15175153,0.42138671875,0.70361328125,1.9333630204200745,0.0,-1.501913,-0.14687356,12.11803723123,0.0783529281616211,-0.683570921421051,-1.9365234375,-7.2821140632,-0.1188402175903319,-1.65164665,-8.694345400000001,0.34375
board,patient,-0.5371663600000001,-1.1551102,0.7870404500000001,-0.1875,-0.54638671875,-0.0991897583007812,-1.00048828125,-1.1354723,-0.2066135,-10.347685448,-0.3981176018714905,-1.165720909833908,-2.186767578125,-5.749199814,-1.1780623793601992,-2.91577511,-6.314074699999999,-0.59423828125
book,patient,-0.37309133,-0.7362221999999999,-0.97846422,0.15625,0.109375,0.2657623291015625,-1.0,-1.1390427600000002,-0.2606344599999999,-12.1422794021,0.3246058821678161,-1.1042976379394531,-1.56201171875,-8.885510459,-0.7600021958351135,-2.67934811,-7.13252088,-0.03125
bottle,patient,-0.6514529600000001,-1.2972022500000002,0.3196208599999999,-0.54736328125,-0.65576171875,-0.1085357666015627,-1.75048828125,-1.60199448,-0.4915273699999999,-13.0832718164,-0.3471217751502989,-1.2046756148338318,-1.8433837890625,-9.62843712,-2.022410288453102,-2.0900812,-5.3806771,-0.15625
